label,count,month
POS,2,05/01/2011
POS,3,06/01/2011
POS,6,07/01/2011
POS,12,08/01/2011
POS,4,09/01/2011
POS,1,11/01/2011
POS,2,12/01/2011
POS,2,01/01/2012
POS,6,02/01/2012
POS,7,03/01/2012
POS,11,04/01/2012
POS,8,05/01/2012
POS,10,06/01/2012
POS,38,07/01/2012
POS,26,08/01/2012
POS,26,09/01/2012
POS,40,10/01/2012
POS,19,11/01/2012
POS,9,12/01/2012
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,14,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,10,04/01/2012
NEG,1,05/01/2012
NEG,6,06/01/2012
NEG,56,07/01/2012
NEG,22,08/01/2012
NEG,23,09/01/2012
NEG,19,10/01/2012
NEG,12,11/01/2012
NEG,2,12/01/2012
