key,value,date
POS,8,09/01/2003
POS,7,10/01/2003
POS,1,11/01/2003
POS,4,12/01/2003
POS,5,01/01/2004
POS,4,02/01/2004
POS,9,03/01/2004
POS,18,04/01/2004
POS,7,05/01/2004
POS,7,06/01/2004
POS,21,07/01/2004
POS,18,08/01/2004
POS,8,09/01/2004
POS,12,10/01/2004
POS,19,11/01/2004
POS,7,12/01/2004
POS,12,01/01/2005
POS,12,02/01/2005
POS,8,03/01/2005
POS,23,04/01/2005
POS,18,05/01/2005
POS,12,06/01/2005
POS,16,07/01/2005
POS,13,08/01/2005
POS,16,09/01/2005
POS,13,10/01/2005
POS,8,11/01/2005
POS,6,12/01/2005
POS,5,01/01/2006
POS,12,02/01/2006
POS,18,03/01/2006
POS,11,04/01/2006
POS,7,05/01/2006
POS,13,06/01/2006
POS,10,07/01/2006
POS,16,08/01/2006
POS,16,09/01/2006
POS,20,10/01/2006
POS,6,11/01/2006
POS,7,12/01/2006
POS,9,01/01/2007
POS,4,02/01/2007
POS,11,03/01/2007
POS,10,04/01/2007
POS,13,05/01/2007
POS,10,06/01/2007
POS,13,07/01/2007
POS,21,08/01/2007
POS,14,09/01/2007
POS,21,10/01/2007
POS,8,11/01/2007
POS,9,12/01/2007
POS,16,01/01/2008
POS,10,02/01/2008
POS,10,03/01/2008
POS,13,04/01/2008
POS,13,05/01/2008
POS,9,06/01/2008
POS,22,07/01/2008
POS,13,08/01/2008
POS,13,09/01/2008
POS,9,10/01/2008
POS,12,11/01/2008
POS,10,12/01/2008
POS,17,01/01/2009
POS,14,02/01/2009
POS,18,03/01/2009
POS,17,04/01/2009
POS,13,05/01/2009
POS,14,06/01/2009
POS,12,07/01/2009
POS,20,08/01/2009
POS,16,09/01/2009
POS,21,10/01/2009
POS,15,11/01/2009
POS,11,12/01/2009
POS,10,01/01/2010
POS,7,02/01/2010
POS,13,03/01/2010
POS,14,04/01/2010
POS,21,05/01/2010
POS,18,06/01/2010
POS,27,07/01/2010
POS,27,08/01/2010
POS,27,09/01/2010
POS,31,10/01/2010
POS,17,11/01/2010
POS,18,12/01/2010
