key,value,date
POS,1,01/01/2002
POS,1,02/01/2003
POS,1,04/01/2003
POS,1,06/01/2003
POS,1,08/01/2003
POS,2,09/01/2003
POS,4,10/01/2003
POS,5,11/01/2003
POS,1,12/01/2003
POS,5,01/01/2004
POS,5,02/01/2004
POS,7,03/01/2004
POS,6,04/01/2004
POS,4,05/01/2004
POS,8,06/01/2004
POS,8,07/01/2004
POS,8,08/01/2004
POS,9,09/01/2004
POS,9,10/01/2004
POS,8,11/01/2004
POS,1,12/01/2004
POS,5,01/01/2005
POS,8,02/01/2005
POS,8,03/01/2005
POS,8,04/01/2005
POS,13,05/01/2005
POS,15,06/01/2005
POS,8,07/01/2005
POS,12,08/01/2005
POS,13,09/01/2005
POS,17,10/01/2005
POS,5,11/01/2005
POS,4,12/01/2005
POS,10,01/01/2006
POS,6,02/01/2006
POS,13,03/01/2006
POS,10,04/01/2006
POS,11,05/01/2006
POS,12,06/01/2006
POS,14,07/01/2006
POS,14,08/01/2006
POS,14,09/01/2006
POS,7,10/01/2006
POS,14,11/01/2006
POS,10,12/01/2006
POS,14,01/01/2007
POS,12,02/01/2007
POS,13,03/01/2007
POS,20,04/01/2007
POS,17,05/01/2007
POS,18,06/01/2007
POS,24,07/01/2007
POS,27,08/01/2007
POS,25,09/01/2007
POS,22,10/01/2007
POS,23,11/01/2007
POS,21,12/01/2007
POS,26,01/01/2008
POS,21,02/01/2008
POS,16,03/01/2008
POS,29,04/01/2008
POS,25,05/01/2008
POS,25,06/01/2008
POS,22,07/01/2008
POS,20,08/01/2008
POS,20,09/01/2008
POS,20,10/01/2008
POS,15,11/01/2008
POS,9,12/01/2008
POS,13,01/01/2009
POS,11,02/01/2009
POS,12,03/01/2009
POS,19,04/01/2009
POS,23,05/01/2009
POS,17,06/01/2009
POS,15,07/01/2009
POS,30,08/01/2009
POS,23,09/01/2009
POS,24,10/01/2009
POS,22,11/01/2009
POS,17,12/01/2009
POS,22,01/01/2010
POS,11,02/01/2010
POS,20,03/01/2010
POS,23,04/01/2010
POS,25,05/01/2010
POS,21,06/01/2010
POS,28,07/01/2010
POS,31,08/01/2010
POS,27,09/01/2010
POS,35,10/01/2010
POS,25,11/01/2010
POS,18,12/01/2010
POS,23,01/01/2011
POS,23,02/01/2011
POS,11,03/01/2011
POS,16,04/01/2011
POS,28,05/01/2011
POS,32,06/01/2011
POS,40,07/01/2011
POS,53,08/01/2011
POS,48,09/01/2011
POS,54,10/01/2011
POS,54,11/01/2011
POS,33,12/01/2011
POS,48,01/01/2012
POS,32,02/01/2012
POS,35,03/01/2012
POS,43,04/01/2012
POS,44,05/01/2012
POS,40,06/01/2012
POS,43,07/01/2012
POS,59,08/01/2012
POS,52,09/01/2012
POS,62,10/01/2012
POS,56,11/01/2012
POS,15,12/01/2012
NEG,0,01/01/2002
NEG,0,02/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,1,05/01/2005
NEG,2,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,3,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,3,10/01/2006
NEG,0,11/01/2006
NEG,3,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,2,06/01/2007
NEG,1,07/01/2007
NEG,2,08/01/2007
NEG,1,09/01/2007
NEG,2,10/01/2007
NEG,3,11/01/2007
NEG,1,12/01/2007
NEG,2,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,7,08/01/2008
NEG,3,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,4,12/01/2008
NEG,4,01/01/2009
NEG,3,02/01/2009
NEG,2,03/01/2009
NEG,3,04/01/2009
NEG,4,05/01/2009
NEG,5,06/01/2009
NEG,3,07/01/2009
NEG,7,08/01/2009
NEG,6,09/01/2009
NEG,7,10/01/2009
NEG,3,11/01/2009
NEG,0,12/01/2009
NEG,3,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,6,04/01/2010
NEG,4,05/01/2010
NEG,6,06/01/2010
NEG,5,07/01/2010
NEG,10,08/01/2010
NEG,9,09/01/2010
NEG,5,10/01/2010
NEG,4,11/01/2010
NEG,5,12/01/2010
NEG,3,01/01/2011
NEG,5,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,1,05/01/2011
NEG,14,06/01/2011
NEG,7,07/01/2011
NEG,10,08/01/2011
NEG,9,09/01/2011
NEG,6,10/01/2011
NEG,13,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,6,02/01/2012
NEG,7,03/01/2012
NEG,5,04/01/2012
NEG,9,05/01/2012
NEG,7,06/01/2012
NEG,7,07/01/2012
NEG,9,08/01/2012
NEG,4,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,3,12/01/2012
