label,count,month
POS,1,01/01/2006
POS,1,02/01/2006
POS,1,03/01/2006
POS,6,04/01/2006
POS,4,05/01/2006
POS,3,06/01/2006
POS,2,07/01/2006
POS,8,08/01/2006
POS,4,09/01/2006
POS,0,10/01/2006
POS,3,11/01/2006
POS,1,12/01/2006
POS,1,02/01/2007
POS,2,03/01/2007
POS,3,04/01/2007
POS,2,05/01/2007
POS,2,06/01/2007
POS,5,07/01/2007
POS,6,08/01/2007
POS,8,09/01/2007
POS,6,10/01/2007
POS,4,11/01/2007
POS,1,12/01/2007
POS,7,01/01/2008
POS,4,02/01/2008
POS,8,03/01/2008
POS,5,04/01/2008
POS,4,05/01/2008
POS,5,06/01/2008
POS,8,07/01/2008
POS,5,08/01/2008
POS,7,09/01/2008
POS,4,10/01/2008
POS,4,11/01/2008
POS,2,12/01/2008
POS,4,01/01/2009
POS,0,02/01/2009
POS,6,03/01/2009
POS,8,04/01/2009
POS,9,05/01/2009
POS,14,06/01/2009
POS,50,07/01/2009
POS,56,08/01/2009
POS,42,09/01/2009
POS,50,10/01/2009
POS,32,11/01/2009
POS,29,12/01/2009
POS,33,01/01/2010
POS,62,02/01/2010
POS,41,03/01/2010
POS,37,04/01/2010
POS,45,05/01/2010
POS,30,06/01/2010
POS,27,07/01/2010
POS,33,08/01/2010
POS,35,09/01/2010
POS,35,10/01/2010
POS,20,11/01/2010
POS,16,12/01/2010
POS,12,01/01/2011
POS,15,02/01/2011
POS,19,03/01/2011
POS,18,04/01/2011
POS,18,05/01/2011
POS,34,06/01/2011
POS,44,07/01/2011
POS,46,08/01/2011
POS,50,09/01/2011
POS,38,10/01/2011
POS,20,11/01/2011
POS,15,12/01/2011
POS,20,01/01/2012
POS,26,02/01/2012
POS,25,03/01/2012
POS,35,04/01/2012
POS,35,05/01/2012
POS,36,06/01/2012
POS,64,07/01/2012
POS,40,08/01/2012
POS,60,09/01/2012
POS,38,10/01/2012
POS,37,11/01/2012
POS,17,12/01/2012
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,2,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,2,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,2,07/01/2007
NEG,1,08/01/2007
NEG,4,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,2,01/01/2008
NEG,3,02/01/2008
NEG,5,03/01/2008
NEG,3,04/01/2008
NEG,3,05/01/2008
NEG,2,06/01/2008
NEG,3,07/01/2008
NEG,5,08/01/2008
NEG,8,09/01/2008
NEG,6,10/01/2008
NEG,3,11/01/2008
NEG,6,12/01/2008
NEG,2,01/01/2009
NEG,4,02/01/2009
NEG,4,03/01/2009
NEG,7,04/01/2009
NEG,0,05/01/2009
NEG,10,06/01/2009
NEG,15,07/01/2009
NEG,14,08/01/2009
NEG,15,09/01/2009
NEG,12,10/01/2009
NEG,11,11/01/2009
NEG,4,12/01/2009
NEG,12,01/01/2010
NEG,5,02/01/2010
NEG,9,03/01/2010
NEG,7,04/01/2010
NEG,7,05/01/2010
NEG,15,06/01/2010
NEG,24,07/01/2010
NEG,28,08/01/2010
NEG,16,09/01/2010
NEG,24,10/01/2010
NEG,5,11/01/2010
NEG,8,12/01/2010
NEG,18,01/01/2011
NEG,11,02/01/2011
NEG,6,03/01/2011
NEG,10,04/01/2011
NEG,11,05/01/2011
NEG,18,06/01/2011
NEG,23,07/01/2011
NEG,39,08/01/2011
NEG,37,09/01/2011
NEG,12,10/01/2011
NEG,19,11/01/2011
NEG,4,12/01/2011
NEG,14,01/01/2012
NEG,6,02/01/2012
NEG,8,03/01/2012
NEG,14,04/01/2012
NEG,12,05/01/2012
NEG,16,06/01/2012
NEG,22,07/01/2012
NEG,28,08/01/2012
NEG,26,09/01/2012
NEG,19,10/01/2012
NEG,15,11/01/2012
NEG,9,12/01/2012
