label,count,month
POS,1,10/01/2002
POS,0,11/01/2002
POS,1,04/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,0,07/01/2003
POS,3,08/01/2003
POS,1,09/01/2003
POS,1,10/01/2003
POS,1,11/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,3,03/01/2004
POS,1,04/01/2004
POS,2,05/01/2004
POS,1,06/01/2004
POS,1,07/01/2004
POS,1,09/01/2004
POS,1,10/01/2004
POS,3,11/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,2,03/01/2005
POS,3,04/01/2005
POS,3,05/01/2005
POS,1,06/01/2005
POS,4,07/01/2005
POS,5,08/01/2005
POS,6,09/01/2005
POS,3,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,0,03/01/2006
POS,1,04/01/2006
POS,2,05/01/2006
POS,4,06/01/2006
POS,4,07/01/2006
POS,4,08/01/2006
POS,3,09/01/2006
POS,4,10/01/2006
POS,2,11/01/2006
POS,4,12/01/2006
POS,2,01/01/2007
POS,1,02/01/2007
POS,2,03/01/2007
POS,2,04/01/2007
POS,2,05/01/2007
POS,1,06/01/2007
POS,4,07/01/2007
POS,3,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,3,11/01/2007
POS,4,12/01/2007
POS,1,01/01/2008
POS,2,02/01/2008
POS,7,03/01/2008
POS,8,04/01/2008
POS,8,05/01/2008
POS,4,06/01/2008
POS,5,07/01/2008
POS,11,08/01/2008
POS,8,09/01/2008
POS,10,10/01/2008
POS,6,11/01/2008
POS,3,12/01/2008
POS,5,01/01/2009
POS,5,03/01/2009
POS,7,04/01/2009
POS,6,05/01/2009
POS,12,06/01/2009
POS,12,07/01/2009
POS,7,08/01/2009
POS,7,09/01/2009
POS,14,10/01/2009
POS,2,11/01/2009
POS,8,12/01/2009
POS,4,01/01/2010
POS,11,02/01/2010
POS,5,03/01/2010
POS,12,04/01/2010
POS,5,05/01/2010
POS,14,06/01/2010
POS,18,07/01/2010
POS,12,08/01/2010
POS,12,09/01/2010
POS,12,10/01/2010
POS,10,11/01/2010
POS,6,12/01/2010
POS,9,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,11,04/01/2011
POS,12,05/01/2011
POS,25,06/01/2011
POS,21,07/01/2011
POS,23,08/01/2011
POS,26,09/01/2011
POS,30,10/01/2011
POS,21,11/01/2011
POS,12,12/01/2011
POS,13,01/01/2012
POS,11,02/01/2012
POS,11,03/01/2012
POS,22,04/01/2012
POS,26,05/01/2012
POS,33,06/01/2012
POS,25,07/01/2012
POS,26,08/01/2012
POS,34,09/01/2012
POS,30,10/01/2012
POS,22,11/01/2012
POS,10,12/01/2012
NEG,0,10/01/2002
NEG,1,11/01/2002
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,1,08/01/2003
NEG,1,09/01/2003
NEG,1,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,1,01/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,3,09/01/2004
NEG,3,10/01/2004
NEG,2,11/01/2004
NEG,1,12/01/2004
NEG,0,01/01/2005
NEG,3,03/01/2005
