key,value,date
POS,1,10/01/2008
POS,2,04/01/2009
POS,1,05/01/2009
POS,3,06/01/2009
POS,5,07/01/2009
POS,8,08/01/2009
POS,5,09/01/2009
POS,10,10/01/2009
POS,8,11/01/2009
POS,1,12/01/2009
POS,2,01/01/2010
POS,3,02/01/2010
POS,0,03/01/2010
POS,4,04/01/2010
POS,4,05/01/2010
POS,2,06/01/2010
POS,3,07/01/2010
POS,5,08/01/2010
POS,2,09/01/2010
POS,3,10/01/2010
POS,5,11/01/2010
POS,4,12/01/2010
POS,3,01/01/2011
POS,2,02/01/2011
POS,2,03/01/2011
POS,8,04/01/2011
POS,5,05/01/2011
POS,6,06/01/2011
POS,10,07/01/2011
POS,10,08/01/2011
POS,22,09/01/2011
POS,18,10/01/2011
POS,7,11/01/2011
POS,7,12/01/2011
POS,7,01/01/2012
POS,6,02/01/2012
POS,8,03/01/2012
POS,9,04/01/2012
POS,4,05/01/2012
POS,11,06/01/2012
POS,13,07/01/2012
POS,9,08/01/2012
POS,7,09/01/2012
POS,1,10/01/2012
POS,1,11/01/2012
NEG,0,10/01/2008
NEG,2,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,5,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,4,06/01/2011
NEG,4,07/01/2011
NEG,8,08/01/2011
NEG,8,09/01/2011
NEG,14,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,6,01/01/2012
NEG,4,02/01/2012
NEG,3,03/01/2012
NEG,11,04/01/2012
NEG,0,05/01/2012
NEG,7,06/01/2012
NEG,3,07/01/2012
NEG,12,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
