key,value,date
POS,6,10/01/2007
POS,7,11/01/2007
POS,6,12/01/2007
POS,14,01/01/2008
POS,6,02/01/2008
POS,8,03/01/2008
POS,3,04/01/2008
POS,5,05/01/2008
POS,4,06/01/2008
POS,4,07/01/2008
POS,4,08/01/2008
POS,7,09/01/2008
POS,3,10/01/2008
POS,2,11/01/2008
POS,3,12/01/2008
POS,2,01/01/2009
POS,3,02/01/2009
POS,8,03/01/2009
POS,7,04/01/2009
POS,6,05/01/2009
POS,6,06/01/2009
POS,11,07/01/2009
POS,11,08/01/2009
POS,13,09/01/2009
POS,14,10/01/2009
POS,5,11/01/2009
POS,3,12/01/2009
POS,7,01/01/2010
POS,9,02/01/2010
POS,8,03/01/2010
POS,6,04/01/2010
POS,6,05/01/2010
POS,6,06/01/2010
POS,6,07/01/2010
POS,8,08/01/2010
POS,10,09/01/2010
POS,6,10/01/2010
POS,5,11/01/2010
POS,2,12/01/2010
POS,5,01/01/2011
POS,6,02/01/2011
POS,1,03/01/2011
POS,3,04/01/2011
POS,4,05/01/2011
POS,6,06/01/2011
POS,10,07/01/2011
POS,12,08/01/2011
POS,12,09/01/2011
POS,12,10/01/2011
POS,13,11/01/2011
POS,5,12/01/2011
POS,8,01/01/2012
POS,10,02/01/2012
POS,11,03/01/2012
POS,12,04/01/2012
POS,12,05/01/2012
POS,9,06/01/2012
POS,7,07/01/2012
POS,11,08/01/2012
POS,15,09/01/2012
POS,12,10/01/2012
POS,18,11/01/2012
POS,21,12/01/2012
NEG,2,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,3,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,2,02/01/2009
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,6,07/01/2009
NEG,9,08/01/2009
NEG,4,09/01/2009
NEG,5,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,3,03/01/2010
NEG,3,04/01/2010
NEG,3,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,6,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,4,06/01/2011
NEG,4,07/01/2011
NEG,7,08/01/2011
NEG,4,09/01/2011
NEG,1,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,8,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,1,09/01/2012
NEG,7,10/01/2012
NEG,8,11/01/2012
NEG,2,12/01/2012
