label,count,month
POS,1,06/01/2002
POS,2,03/01/2003
POS,1,04/01/2003
POS,1,06/01/2003
POS,4,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,2,10/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,2,01/01/2004
POS,1,02/01/2004
POS,2,03/01/2004
POS,2,04/01/2004
POS,1,05/01/2004
POS,4,06/01/2004
POS,4,07/01/2004
POS,8,08/01/2004
POS,2,09/01/2004
POS,3,10/01/2004
POS,4,11/01/2004
POS,4,12/01/2004
POS,4,01/01/2005
POS,3,03/01/2005
POS,2,04/01/2005
POS,2,05/01/2005
POS,2,06/01/2005
POS,2,07/01/2005
POS,3,08/01/2005
POS,4,09/01/2005
POS,1,10/01/2005
POS,1,11/01/2005
POS,5,12/01/2005
POS,2,01/01/2006
POS,3,02/01/2006
POS,4,03/01/2006
POS,3,04/01/2006
POS,4,05/01/2006
POS,1,06/01/2006
POS,8,07/01/2006
POS,7,08/01/2006
POS,1,09/01/2006
POS,1,10/01/2006
POS,1,11/01/2006
POS,2,12/01/2006
POS,5,01/01/2007
POS,3,02/01/2007
POS,4,03/01/2007
POS,4,04/01/2007
POS,3,05/01/2007
POS,5,06/01/2007
POS,10,07/01/2007
POS,7,08/01/2007
POS,5,09/01/2007
POS,2,10/01/2007
POS,2,11/01/2007
POS,4,12/01/2007
POS,2,01/01/2008
POS,3,03/01/2008
POS,6,05/01/2008
POS,11,06/01/2008
POS,3,07/01/2008
POS,3,08/01/2008
POS,4,09/01/2008
POS,5,10/01/2008
POS,1,11/01/2008
POS,0,12/01/2008
POS,4,01/01/2009
POS,1,02/01/2009
POS,8,03/01/2009
POS,2,04/01/2009
POS,11,05/01/2009
POS,7,06/01/2009
POS,8,07/01/2009
POS,4,08/01/2009
POS,2,09/01/2009
POS,6,10/01/2009
POS,5,11/01/2009
POS,4,12/01/2009
POS,5,01/01/2010
POS,4,02/01/2010
POS,2,03/01/2010
POS,2,04/01/2010
POS,6,05/01/2010
POS,5,06/01/2010
POS,10,07/01/2010
POS,6,08/01/2010
POS,5,09/01/2010
POS,16,10/01/2010
POS,11,11/01/2010
POS,3,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,9,03/01/2011
POS,7,04/01/2011
POS,13,05/01/2011
POS,10,06/01/2011
POS,15,07/01/2011
POS,17,08/01/2011
POS,14,09/01/2011
POS,19,10/01/2011
POS,13,11/01/2011
POS,7,12/01/2011
POS,12,01/01/2012
POS,13,02/01/2012
POS,12,03/01/2012
POS,18,04/01/2012
POS,15,05/01/2012
POS,10,06/01/2012
POS,21,07/01/2012
POS,14,08/01/2012
POS,19,09/01/2012
POS,15,10/01/2012
