label,count,month
POS,1,10/01/2006
POS,0,01/01/2007
POS,0,03/01/2007
POS,3,04/01/2007
POS,2,05/01/2007
POS,2,06/01/2007
POS,2,07/01/2007
POS,5,08/01/2007
POS,3,09/01/2007
POS,1,10/01/2007
POS,2,11/01/2007
POS,3,12/01/2007
POS,0,01/01/2008
POS,2,02/01/2008
POS,3,03/01/2008
POS,0,04/01/2008
POS,1,05/01/2008
POS,2,06/01/2008
POS,1,07/01/2008
POS,1,10/01/2008
POS,3,01/01/2009
POS,1,02/01/2009
POS,2,03/01/2009
POS,4,04/01/2009
POS,3,05/01/2009
POS,3,06/01/2009
POS,7,07/01/2009
POS,4,08/01/2009
POS,3,09/01/2009
POS,5,10/01/2009
POS,3,11/01/2009
POS,3,12/01/2009
POS,3,01/01/2010
POS,4,02/01/2010
POS,6,03/01/2010
POS,1,04/01/2010
POS,6,05/01/2010
POS,4,06/01/2010
POS,9,07/01/2010
POS,10,08/01/2010
POS,7,09/01/2010
POS,12,10/01/2010
POS,5,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,4,02/01/2011
POS,5,03/01/2011
POS,4,04/01/2011
POS,3,05/01/2011
POS,5,06/01/2011
POS,2,07/01/2011
POS,6,08/01/2011
POS,11,09/01/2011
POS,7,10/01/2011
POS,12,11/01/2011
POS,4,12/01/2011
POS,12,01/01/2012
POS,7,02/01/2012
POS,5,03/01/2012
POS,11,04/01/2012
POS,14,05/01/2012
POS,14,06/01/2012
POS,4,07/01/2012
POS,12,08/01/2012
POS,12,09/01/2012
POS,14,10/01/2012
POS,15,11/01/2012
POS,4,12/01/2012
NEG,0,10/01/2006
NEG,1,01/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,3,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,2,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,3,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,2,06/01/2008
NEG,0,07/01/2008
NEG,0,10/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,2,07/01/2009
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,7,08/01/2010
NEG,3,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,6,03/01/2011
NEG,3,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,5,07/01/2011
NEG,5,08/01/2011
NEG,7,09/01/2011
NEG,6,10/01/2011
NEG,6,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,5,04/01/2012
NEG,4,05/01/2012
NEG,6,06/01/2012
NEG,6,07/01/2012
NEG,3,08/01/2012
NEG,9,09/01/2012
NEG,7,10/01/2012
NEG,8,11/01/2012
NEG,1,12/01/2012
