label,count,month
POS,1,02/01/2008
POS,8,03/01/2008
POS,12,04/01/2008
POS,7,05/01/2008
POS,2,06/01/2008
POS,7,07/01/2008
POS,8,08/01/2008
POS,2,09/01/2008
POS,7,10/01/2008
POS,10,11/01/2008
POS,1,12/01/2008
POS,5,01/01/2009
POS,3,02/01/2009
POS,13,03/01/2009
POS,10,04/01/2009
POS,7,05/01/2009
POS,8,06/01/2009
POS,13,07/01/2009
POS,10,08/01/2009
POS,6,09/01/2009
POS,14,10/01/2009
POS,3,11/01/2009
POS,11,12/01/2009
POS,6,01/01/2010
POS,12,02/01/2010
POS,17,03/01/2010
POS,12,04/01/2010
POS,9,05/01/2010
POS,10,06/01/2010
POS,8,07/01/2010
POS,9,08/01/2010
POS,14,09/01/2010
POS,11,10/01/2010
POS,9,11/01/2010
POS,8,12/01/2010
POS,7,01/01/2011
POS,3,02/01/2011
POS,8,03/01/2011
POS,13,04/01/2011
POS,10,05/01/2011
POS,14,06/01/2011
POS,12,07/01/2011
POS,21,08/01/2011
POS,22,09/01/2011
POS,12,10/01/2011
POS,16,11/01/2011
POS,9,12/01/2011
POS,11,01/01/2012
POS,21,02/01/2012
POS,18,03/01/2012
POS,13,04/01/2012
POS,13,05/01/2012
POS,14,06/01/2012
POS,21,07/01/2012
POS,14,08/01/2012
POS,23,09/01/2012
POS,25,10/01/2012
POS,17,11/01/2012
POS,15,12/01/2012
NEG,0,02/01/2008
NEG,4,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,4,06/01/2008
NEG,2,07/01/2008
NEG,3,08/01/2008
NEG,2,09/01/2008
NEG,6,10/01/2008
NEG,2,11/01/2008
NEG,4,12/01/2008
NEG,1,01/01/2009
NEG,3,02/01/2009
NEG,3,03/01/2009
NEG,3,04/01/2009
NEG,3,05/01/2009
NEG,3,06/01/2009
NEG,3,07/01/2009
NEG,6,08/01/2009
NEG,10,09/01/2009
NEG,8,10/01/2009
NEG,3,11/01/2009
NEG,3,12/01/2009
NEG,7,01/01/2010
NEG,1,02/01/2010
NEG,4,03/01/2010
NEG,2,04/01/2010
NEG,3,05/01/2010
NEG,0,06/01/2010
NEG,3,07/01/2010
NEG,17,08/01/2010
NEG,7,09/01/2010
NEG,8,10/01/2010
NEG,3,11/01/2010
NEG,6,12/01/2010
NEG,5,01/01/2011
NEG,5,02/01/2011
NEG,5,03/01/2011
NEG,8,04/01/2011
NEG,5,05/01/2011
NEG,7,06/01/2011
NEG,14,07/01/2011
NEG,13,08/01/2011
NEG,8,09/01/2011
NEG,12,10/01/2011
NEG,14,11/01/2011
NEG,5,12/01/2011
NEG,8,01/01/2012
NEG,2,02/01/2012
NEG,8,03/01/2012
NEG,12,04/01/2012
NEG,4,05/01/2012
NEG,7,06/01/2012
NEG,19,07/01/2012
NEG,9,08/01/2012
NEG,14,09/01/2012
NEG,13,10/01/2012
NEG,11,11/01/2012
NEG,3,12/01/2012
