label,count,month
POS,7,03/01/2008
POS,6,04/01/2008
POS,17,05/01/2008
POS,11,06/01/2008
POS,10,07/01/2008
POS,10,08/01/2008
POS,9,09/01/2008
POS,10,10/01/2008
POS,8,11/01/2008
POS,6,12/01/2008
POS,8,01/01/2009
POS,4,02/01/2009
POS,12,03/01/2009
POS,10,04/01/2009
POS,12,05/01/2009
POS,10,06/01/2009
POS,19,07/01/2009
POS,9,08/01/2009
POS,16,09/01/2009
POS,10,10/01/2009
POS,6,11/01/2009
POS,6,12/01/2009
POS,7,01/01/2010
POS,8,02/01/2010
POS,5,03/01/2010
POS,10,04/01/2010
POS,10,05/01/2010
POS,13,06/01/2010
POS,13,07/01/2010
POS,15,08/01/2010
POS,19,09/01/2010
POS,17,10/01/2010
POS,11,11/01/2010
POS,10,12/01/2010
POS,10,01/01/2011
POS,7,02/01/2011
POS,8,03/01/2011
POS,15,04/01/2011
POS,10,05/01/2011
POS,19,06/01/2011
POS,31,07/01/2011
POS,28,08/01/2011
POS,32,09/01/2011
POS,20,10/01/2011
POS,25,11/01/2011
POS,25,12/01/2011
POS,30,01/01/2012
POS,21,02/01/2012
POS,17,03/01/2012
POS,13,04/01/2012
POS,24,05/01/2012
POS,22,06/01/2012
POS,40,07/01/2012
POS,27,08/01/2012
POS,30,09/01/2012
POS,21,10/01/2012
POS,32,11/01/2012
POS,7,12/01/2012
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,7,08/01/2008
NEG,6,09/01/2008
NEG,4,10/01/2008
NEG,1,11/01/2008
NEG,1,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,2,05/01/2009
NEG,2,06/01/2009
NEG,2,07/01/2009
NEG,4,08/01/2009
NEG,3,09/01/2009
NEG,2,10/01/2009
NEG,4,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,5,03/01/2010
NEG,2,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,3,07/01/2010
NEG,2,08/01/2010
NEG,5,09/01/2010
NEG,4,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,4,03/01/2011
NEG,5,04/01/2011
NEG,5,05/01/2011
NEG,3,06/01/2011
NEG,7,07/01/2011
NEG,9,08/01/2011
NEG,8,09/01/2011
NEG,2,10/01/2011
NEG,6,11/01/2011
NEG,4,12/01/2011
NEG,9,01/01/2012
NEG,7,02/01/2012
NEG,9,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,10,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,6,09/01/2012
NEG,6,10/01/2012
NEG,7,11/01/2012
NEG,1,12/01/2012
