label,count,month
POS,1,02/01/2003
POS,1,05/01/2004
POS,1,10/01/2004
POS,1,08/01/2007
POS,1,05/01/2008
POS,1,12/01/2009
POS,1,01/01/2010
POS,1,02/01/2010
POS,2,03/01/2010
POS,7,04/01/2010
POS,10,05/01/2010
POS,10,06/01/2010
POS,8,07/01/2010
POS,5,08/01/2010
POS,8,09/01/2010
POS,7,10/01/2010
POS,4,11/01/2010
POS,5,12/01/2010
POS,3,01/01/2011
POS,1,02/01/2011
POS,5,03/01/2011
POS,2,04/01/2011
POS,10,05/01/2011
POS,10,06/01/2011
POS,7,07/01/2011
POS,4,08/01/2011
POS,10,09/01/2011
POS,7,10/01/2011
POS,7,11/01/2011
POS,2,12/01/2011
POS,5,01/01/2012
POS,6,02/01/2012
POS,9,03/01/2012
POS,6,04/01/2012
POS,11,05/01/2012
POS,6,06/01/2012
POS,4,07/01/2012
POS,7,08/01/2012
POS,4,09/01/2012
POS,7,10/01/2012
POS,3,11/01/2012
POS,2,12/01/2012
NEG,0,02/01/2003
NEG,0,05/01/2004
NEG,0,10/01/2004
NEG,0,08/01/2007
NEG,0,05/01/2008
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,3,05/01/2010
NEG,2,06/01/2010
NEG,4,07/01/2010
NEG,4,08/01/2010
NEG,6,09/01/2010
NEG,7,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,5,06/01/2011
NEG,5,07/01/2011
NEG,5,08/01/2011
NEG,4,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,5,07/01/2012
NEG,4,08/01/2012
NEG,3,09/01/2012
NEG,4,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
