label,count,month
POS,1,05/01/2003
POS,1,08/01/2003
POS,2,09/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,1,01/01/2004
POS,2,03/01/2004
POS,1,04/01/2004
POS,5,05/01/2004
POS,2,06/01/2004
POS,2,07/01/2004
POS,4,08/01/2004
POS,2,09/01/2004
POS,3,10/01/2004
POS,1,11/01/2004
POS,3,12/01/2004
POS,2,02/01/2005
POS,2,03/01/2005
POS,6,04/01/2005
POS,5,05/01/2005
POS,6,06/01/2005
POS,6,07/01/2005
POS,14,08/01/2005
POS,3,09/01/2005
POS,1,10/01/2005
POS,2,11/01/2005
POS,5,12/01/2005
POS,6,01/01/2006
POS,5,02/01/2006
POS,2,03/01/2006
POS,6,04/01/2006
POS,6,05/01/2006
POS,8,06/01/2006
POS,9,07/01/2006
POS,7,08/01/2006
POS,9,09/01/2006
POS,4,10/01/2006
POS,2,11/01/2006
POS,3,12/01/2006
POS,7,01/01/2007
POS,4,02/01/2007
POS,9,03/01/2007
POS,3,04/01/2007
POS,8,05/01/2007
POS,1,06/01/2007
POS,8,07/01/2007
POS,8,08/01/2007
POS,14,09/01/2007
POS,6,10/01/2007
POS,6,11/01/2007
POS,9,12/01/2007
POS,9,01/01/2008
POS,4,02/01/2008
POS,8,03/01/2008
POS,14,04/01/2008
POS,12,05/01/2008
POS,18,06/01/2008
POS,17,07/01/2008
POS,10,08/01/2008
POS,11,09/01/2008
POS,11,10/01/2008
POS,5,11/01/2008
POS,8,12/01/2008
POS,6,01/01/2009
POS,4,02/01/2009
POS,4,03/01/2009
POS,4,04/01/2009
POS,7,05/01/2009
POS,10,06/01/2009
POS,15,07/01/2009
POS,24,08/01/2009
POS,17,09/01/2009
POS,14,10/01/2009
POS,5,11/01/2009
POS,14,12/01/2009
POS,11,01/01/2010
POS,8,02/01/2010
POS,10,03/01/2010
POS,19,04/01/2010
POS,19,05/01/2010
POS,20,06/01/2010
POS,34,07/01/2010
POS,29,08/01/2010
POS,25,09/01/2010
POS,22,10/01/2010
POS,11,11/01/2010
POS,14,12/01/2010
POS,15,01/01/2011
POS,14,02/01/2011
POS,14,03/01/2011
POS,12,04/01/2011
POS,12,05/01/2011
POS,21,06/01/2011
POS,43,07/01/2011
POS,39,08/01/2011
POS,34,09/01/2011
POS,22,10/01/2011
POS,44,11/01/2011
POS,29,12/01/2011
POS,34,01/01/2012
POS,22,02/01/2012
POS,22,03/01/2012
POS,45,04/01/2012
POS,45,05/01/2012
POS,40,06/01/2012
POS,53,07/01/2012
POS,52,08/01/2012
POS,49,09/01/2012
POS,27,10/01/2012
POS,22,11/01/2012
POS,15,12/01/2012
NEG,0,05/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,2,05/01/2009
NEG,0,06/01/2009
NEG,2,07/01/2009
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,6,06/01/2010
NEG,3,07/01/2010
NEG,6,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,4,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,5,11/01/2011
NEG,7,12/01/2011
NEG,2,01/01/2012
NEG,4,02/01/2012
NEG,0,03/01/2012
NEG,5,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,6,07/01/2012
NEG,4,08/01/2012
NEG,3,09/01/2012
NEG,5,10/01/2012
NEG,3,11/01/2012
NEG,2,12/01/2012
