key,value,date
POS,1,10/01/2002
POS,1,01/01/2003
POS,2,06/01/2003
POS,0,07/01/2003
POS,2,08/01/2003
POS,1,09/01/2003
POS,1,10/01/2003
POS,2,11/01/2003
POS,4,01/01/2004
POS,4,02/01/2004
POS,2,03/01/2004
POS,4,04/01/2004
POS,1,05/01/2004
POS,1,06/01/2004
POS,6,07/01/2004
POS,5,08/01/2004
POS,2,09/01/2004
POS,4,10/01/2004
POS,3,11/01/2004
POS,2,12/01/2004
POS,2,01/01/2005
POS,1,02/01/2005
POS,3,03/01/2005
POS,1,04/01/2005
POS,2,05/01/2005
POS,3,06/01/2005
POS,3,07/01/2005
POS,11,08/01/2005
POS,2,09/01/2005
POS,5,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,6,01/01/2006
POS,1,03/01/2006
POS,4,04/01/2006
POS,0,05/01/2006
POS,4,06/01/2006
POS,3,07/01/2006
POS,3,08/01/2006
POS,2,09/01/2006
POS,1,10/01/2006
POS,6,11/01/2006
POS,4,12/01/2006
POS,3,01/01/2007
POS,7,02/01/2007
POS,6,03/01/2007
POS,16,04/01/2007
POS,10,05/01/2007
POS,16,06/01/2007
POS,20,07/01/2007
POS,9,08/01/2007
POS,14,09/01/2007
POS,9,10/01/2007
POS,5,11/01/2007
POS,8,12/01/2007
POS,11,01/01/2008
POS,6,02/01/2008
POS,8,03/01/2008
POS,7,04/01/2008
POS,6,05/01/2008
POS,18,06/01/2008
POS,9,07/01/2008
POS,14,08/01/2008
POS,11,09/01/2008
POS,10,10/01/2008
POS,8,11/01/2008
POS,8,12/01/2008
POS,10,01/01/2009
POS,8,02/01/2009
POS,13,03/01/2009
POS,17,04/01/2009
POS,22,05/01/2009
POS,18,06/01/2009
POS,16,07/01/2009
POS,17,08/01/2009
POS,20,09/01/2009
POS,27,10/01/2009
POS,11,11/01/2009
POS,11,12/01/2009
POS,18,01/01/2010
POS,17,02/01/2010
POS,15,03/01/2010
POS,27,04/01/2010
POS,28,05/01/2010
POS,29,06/01/2010
POS,30,07/01/2010
POS,31,08/01/2010
POS,40,09/01/2010
POS,37,10/01/2010
POS,21,11/01/2010
POS,18,12/01/2010
POS,12,01/01/2011
POS,13,02/01/2011
POS,11,03/01/2011
POS,9,04/01/2011
POS,11,05/01/2011
POS,41,06/01/2011
POS,40,07/01/2011
POS,47,08/01/2011
POS,44,09/01/2011
POS,39,10/01/2011
POS,32,11/01/2011
POS,35,12/01/2011
POS,52,01/01/2012
POS,75,02/01/2012
POS,36,03/01/2012
POS,42,04/01/2012
POS,45,05/01/2012
POS,39,06/01/2012
POS,55,07/01/2012
POS,45,08/01/2012
POS,56,09/01/2012
POS,105,10/01/2012
POS,105,11/01/2012
POS,31,12/01/2012
NEG,0,10/01/2002
NEG,0,01/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,1,08/01/2003
NEG,3,09/01/2003
NEG,2,10/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,2,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,2,08/01/2004
NEG,2,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,1,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,2,02/01/2007
NEG,3,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,2,06/01/2007
NEG,2,07/01/2007
NEG,5,08/01/2007
NEG,6,09/01/2007
NEG,3,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,8,01/01/2008
NEG,2,02/01/2008
NEG,1,03/01/2008
NEG,3,04/01/2008
NEG,7,05/01/2008
NEG,5,06/01/2008
NEG,4,07/01/2008
NEG,10,08/01/2008
NEG,8,09/01/2008
NEG,8,10/01/2008
NEG,1,11/01/2008
NEG,3,12/01/2008
NEG,3,01/01/2009
NEG,4,02/01/2009
NEG,3,03/01/2009
NEG,6,04/01/2009
NEG,5,05/01/2009
NEG,6,06/01/2009
NEG,5,07/01/2009
NEG,14,08/01/2009
NEG,7,09/01/2009
NEG,14,10/01/2009
NEG,7,11/01/2009
NEG,1,12/01/2009
NEG,6,01/01/2010
NEG,3,02/01/2010
NEG,2,03/01/2010
NEG,15,04/01/2010
NEG,8,05/01/2010
NEG,10,06/01/2010
NEG,15,07/01/2010
NEG,20,08/01/2010
NEG,13,09/01/2010
NEG,12,10/01/2010
NEG,5,11/01/2010
NEG,5,12/01/2010
NEG,4,01/01/2011
NEG,8,02/01/2011
NEG,10,03/01/2011
NEG,6,04/01/2011
NEG,12,05/01/2011
NEG,4,06/01/2011
NEG,12,07/01/2011
NEG,22,08/01/2011
NEG,17,09/01/2011
NEG,14,10/01/2011
NEG,4,11/01/2011
NEG,9,12/01/2011
NEG,14,01/01/2012
NEG,11,02/01/2012
NEG,9,03/01/2012
NEG,12,04/01/2012
NEG,13,05/01/2012
NEG,10,06/01/2012
NEG,14,07/01/2012
NEG,24,08/01/2012
NEG,21,09/01/2012
NEG,24,10/01/2012
NEG,23,11/01/2012
NEG,11,12/01/2012
