label,count,month
POS,1,10/01/2002
POS,1,04/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,1,10/01/2003
POS,1,11/01/2003
POS,2,01/01/2004
POS,2,03/01/2004
POS,1,05/01/2004
POS,0,06/01/2004
POS,1,07/01/2004
POS,2,08/01/2004
POS,3,09/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,2,12/01/2004
POS,0,01/01/2005
POS,0,03/01/2005
POS,0,04/01/2005
POS,0,05/01/2005
POS,1,06/01/2005
POS,5,07/01/2005
POS,7,08/01/2005
POS,2,09/01/2005
POS,1,10/01/2005
POS,4,11/01/2005
POS,2,12/01/2005
POS,4,01/01/2006
POS,3,02/01/2006
POS,3,03/01/2006
POS,3,04/01/2006
POS,3,05/01/2006
POS,3,06/01/2006
POS,4,07/01/2006
POS,4,08/01/2006
POS,2,09/01/2006
POS,7,10/01/2006
POS,2,11/01/2006
POS,1,12/01/2006
POS,5,01/01/2007
POS,1,02/01/2007
POS,4,03/01/2007
POS,4,04/01/2007
POS,5,05/01/2007
POS,6,06/01/2007
POS,11,07/01/2007
POS,9,08/01/2007
POS,4,09/01/2007
POS,6,10/01/2007
POS,4,11/01/2007
POS,3,12/01/2007
POS,7,01/01/2008
POS,0,02/01/2008
POS,5,03/01/2008
POS,4,04/01/2008
POS,8,05/01/2008
POS,3,06/01/2008
POS,5,07/01/2008
POS,3,08/01/2008
POS,5,09/01/2008
POS,3,10/01/2008
POS,1,11/01/2008
POS,2,12/01/2008
POS,4,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,1,04/01/2009
POS,4,05/01/2009
POS,3,06/01/2009
POS,7,07/01/2009
POS,6,08/01/2009
POS,10,09/01/2009
POS,4,10/01/2009
POS,1,11/01/2009
POS,6,12/01/2009
POS,3,01/01/2010
POS,5,02/01/2010
POS,9,03/01/2010
POS,5,04/01/2010
POS,6,05/01/2010
POS,4,06/01/2010
POS,10,07/01/2010
POS,12,08/01/2010
POS,9,09/01/2010
POS,8,10/01/2010
POS,6,11/01/2010
POS,4,12/01/2010
POS,13,01/01/2011
POS,8,02/01/2011
POS,4,03/01/2011
POS,8,04/01/2011
POS,10,05/01/2011
POS,32,06/01/2011
POS,29,07/01/2011
POS,32,08/01/2011
POS,37,09/01/2011
POS,18,10/01/2011
POS,27,11/01/2011
POS,22,12/01/2011
POS,29,01/01/2012
POS,15,02/01/2012
POS,16,03/01/2012
POS,21,04/01/2012
POS,21,05/01/2012
POS,27,06/01/2012
POS,33,07/01/2012
POS,30,08/01/2012
POS,34,09/01/2012
POS,31,10/01/2012
POS,36,11/01/2012
POS,11,12/01/2012
NEG,0,10/01/2002
NEG,0,04/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,0,03/01/2004
NEG,1,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,1,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,2,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,3,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,3,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,4,09/01/2008
NEG,1,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,2,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,4,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,3,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,4,07/01/2010
NEG,5,08/01/2010
NEG,3,09/01/2010
NEG,1,10/01/2010
NEG,6,11/01/2010
NEG,2,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,8,07/01/2011
NEG,6,08/01/2011
NEG,11,09/01/2011
NEG,8,10/01/2011
NEG,4,11/01/2011
NEG,10,12/01/2011
NEG,12,01/01/2012
NEG,5,02/01/2012
NEG,4,03/01/2012
NEG,5,04/01/2012
NEG,5,05/01/2012
NEG,7,06/01/2012
NEG,12,07/01/2012
NEG,14,08/01/2012
NEG,17,09/01/2012
NEG,9,10/01/2012
NEG,10,11/01/2012
NEG,3,12/01/2012
