label,count,month
POS,0,06/01/2005
POS,1,07/01/2005
POS,6,08/01/2005
POS,4,09/01/2005
POS,1,10/01/2005
POS,4,11/01/2005
POS,2,01/01/2006
POS,1,02/01/2006
POS,0,03/01/2006
POS,0,04/01/2006
POS,2,05/01/2006
POS,1,06/01/2006
POS,1,07/01/2006
POS,2,08/01/2006
POS,4,09/01/2006
POS,1,10/01/2006
POS,3,11/01/2006
POS,4,12/01/2006
POS,1,01/01/2007
POS,2,02/01/2007
POS,1,03/01/2007
POS,7,04/01/2007
POS,2,05/01/2007
POS,6,06/01/2007
POS,6,07/01/2007
POS,4,08/01/2007
POS,4,09/01/2007
POS,2,10/01/2007
POS,3,11/01/2007
POS,6,12/01/2007
POS,11,01/01/2008
POS,4,02/01/2008
POS,6,03/01/2008
POS,8,04/01/2008
POS,8,05/01/2008
POS,11,06/01/2008
POS,10,07/01/2008
POS,10,08/01/2008
POS,8,09/01/2008
POS,6,10/01/2008
POS,6,11/01/2008
POS,5,01/01/2009
POS,3,02/01/2009
POS,5,03/01/2009
POS,5,04/01/2009
POS,6,05/01/2009
POS,3,06/01/2009
POS,16,07/01/2009
POS,12,08/01/2009
POS,4,09/01/2009
POS,11,10/01/2009
POS,3,11/01/2009
POS,5,12/01/2009
POS,8,01/01/2010
POS,7,02/01/2010
POS,5,03/01/2010
POS,10,04/01/2010
POS,13,05/01/2010
POS,15,06/01/2010
POS,9,07/01/2010
POS,18,08/01/2010
POS,13,09/01/2010
POS,10,10/01/2010
POS,9,11/01/2010
POS,7,12/01/2010
POS,5,01/01/2011
POS,5,02/01/2011
POS,11,03/01/2011
POS,4,04/01/2011
POS,4,05/01/2011
POS,17,06/01/2011
POS,9,07/01/2011
POS,21,08/01/2011
POS,27,09/01/2011
POS,14,10/01/2011
POS,10,11/01/2011
POS,10,12/01/2011
POS,20,01/01/2012
POS,15,02/01/2012
POS,15,03/01/2012
POS,16,04/01/2012
POS,19,05/01/2012
POS,19,06/01/2012
POS,33,07/01/2012
POS,28,08/01/2012
POS,20,09/01/2012
POS,17,10/01/2012
POS,29,11/01/2012
POS,7,12/01/2012
NEG,1,06/01/2005
NEG,2,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,4,10/01/2005
NEG,1,11/01/2005
NEG,1,01/01/2006
NEG,2,02/01/2006
NEG,1,03/01/2006
NEG,2,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,3,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,2,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,5,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,9,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,3,04/01/2008
NEG,3,05/01/2008
NEG,3,06/01/2008
NEG,3,07/01/2008
NEG,6,08/01/2008
NEG,2,09/01/2008
NEG,4,10/01/2008
NEG,2,11/01/2008
NEG,3,01/01/2009
NEG,2,02/01/2009
NEG,4,03/01/2009
NEG,3,04/01/2009
NEG,3,05/01/2009
NEG,3,06/01/2009
NEG,3,07/01/2009
NEG,6,08/01/2009
NEG,5,09/01/2009
NEG,2,10/01/2009
NEG,3,11/01/2009
NEG,3,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,4,03/01/2010
NEG,7,04/01/2010
NEG,8,05/01/2010
NEG,8,06/01/2010
NEG,4,07/01/2010
NEG,8,08/01/2010
NEG,7,09/01/2010
NEG,7,10/01/2010
NEG,6,11/01/2010
NEG,2,12/01/2010
NEG,9,01/01/2011
NEG,8,02/01/2011
NEG,5,03/01/2011
NEG,4,04/01/2011
NEG,5,05/01/2011
NEG,2,06/01/2011
NEG,5,07/01/2011
NEG,5,08/01/2011
NEG,4,09/01/2011
NEG,8,10/01/2011
NEG,8,11/01/2011
NEG,4,12/01/2011
NEG,1,01/01/2012
NEG,5,02/01/2012
NEG,2,03/01/2012
NEG,6,04/01/2012
NEG,3,05/01/2012
NEG,7,06/01/2012
NEG,8,07/01/2012
NEG,8,08/01/2012
NEG,6,09/01/2012
NEG,2,10/01/2012
NEG,8,11/01/2012
NEG,5,12/01/2012
