label,count,month
POS,1,01/01/2003
POS,3,07/01/2003
POS,1,08/01/2003
POS,1,10/01/2003
POS,3,11/01/2003
POS,1,01/01/2004
POS,1,02/01/2004
POS,2,03/01/2004
POS,2,04/01/2004
POS,1,05/01/2004
POS,1,06/01/2004
POS,1,07/01/2004
POS,1,08/01/2004
POS,3,09/01/2004
POS,1,10/01/2004
POS,3,11/01/2004
POS,2,01/01/2005
POS,2,03/01/2005
POS,1,04/01/2005
POS,4,05/01/2005
POS,3,06/01/2005
POS,1,07/01/2005
POS,1,08/01/2005
POS,1,10/01/2005
POS,0,11/01/2005
POS,1,12/01/2005
POS,3,01/01/2006
POS,1,02/01/2006
POS,3,03/01/2006
POS,2,04/01/2006
POS,4,05/01/2006
POS,1,06/01/2006
POS,3,07/01/2006
POS,4,08/01/2006
POS,5,09/01/2006
POS,4,10/01/2006
POS,7,11/01/2006
POS,4,12/01/2006
POS,4,01/01/2007
POS,2,02/01/2007
POS,4,03/01/2007
POS,7,04/01/2007
POS,7,05/01/2007
POS,6,06/01/2007
POS,7,07/01/2007
POS,21,08/01/2007
POS,7,09/01/2007
POS,4,10/01/2007
POS,5,11/01/2007
POS,2,12/01/2007
POS,5,01/01/2008
POS,2,02/01/2008
POS,3,03/01/2008
POS,8,04/01/2008
POS,14,05/01/2008
POS,13,06/01/2008
POS,9,07/01/2008
POS,12,08/01/2008
POS,5,09/01/2008
POS,15,10/01/2008
POS,10,11/01/2008
POS,4,12/01/2008
POS,3,01/01/2009
POS,6,02/01/2009
POS,13,03/01/2009
POS,15,04/01/2009
POS,19,05/01/2009
POS,8,06/01/2009
POS,22,07/01/2009
POS,18,08/01/2009
POS,22,09/01/2009
POS,17,10/01/2009
POS,7,11/01/2009
POS,3,12/01/2009
POS,10,01/01/2010
POS,10,02/01/2010
POS,18,03/01/2010
POS,16,04/01/2010
POS,11,05/01/2010
POS,13,06/01/2010
POS,16,07/01/2010
POS,19,08/01/2010
POS,16,09/01/2010
POS,18,10/01/2010
POS,15,11/01/2010
POS,7,12/01/2010
POS,14,01/01/2011
POS,9,02/01/2011
POS,6,03/01/2011
POS,15,04/01/2011
POS,8,05/01/2011
POS,19,06/01/2011
POS,16,07/01/2011
POS,22,08/01/2011
POS,21,09/01/2011
POS,16,10/01/2011
POS,22,11/01/2011
POS,8,12/01/2011
POS,11,01/01/2012
POS,7,02/01/2012
POS,2,03/01/2012
POS,12,04/01/2012
POS,12,05/01/2012
POS,13,06/01/2012
POS,19,07/01/2012
POS,18,08/01/2012
POS,16,09/01/2012
POS,21,10/01/2012
POS,13,11/01/2012
POS,4,12/01/2012
NEG,0,01/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,3,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,0,01/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,4,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,2,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,2,08/01/2006
NEG,1,09/01/2006
NEG,1,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,2,07/01/2007
NEG,3,08/01/2007
NEG,3,09/01/2007
NEG,2,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,3,03/01/2008
NEG,3,04/01/2008
NEG,3,05/01/2008
NEG,1,06/01/2008
NEG,5,07/01/2008
NEG,2,08/01/2008
NEG,4,09/01/2008
NEG,2,10/01/2008
NEG,5,11/01/2008
NEG,2,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,6,07/01/2009
NEG,12,08/01/2009
NEG,9,09/01/2009
NEG,10,10/01/2009
NEG,5,11/01/2009
NEG,2,12/01/2009
NEG,5,01/01/2010
NEG,2,02/01/2010
NEG,0,03/01/2010
NEG,3,04/01/2010
NEG,3,05/01/2010
NEG,6,06/01/2010
NEG,7,07/01/2010
NEG,11,08/01/2010
NEG,7,09/01/2010
NEG,5,10/01/2010
NEG,6,11/01/2010
NEG,3,12/01/2010
NEG,2,01/01/2011
NEG,5,02/01/2011
NEG,5,03/01/2011
NEG,5,04/01/2011
NEG,5,05/01/2011
NEG,4,06/01/2011
NEG,13,07/01/2011
NEG,13,08/01/2011
NEG,17,09/01/2011
NEG,9,10/01/2011
NEG,6,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,5,04/01/2012
NEG,6,05/01/2012
NEG,0,06/01/2012
NEG,6,07/01/2012
NEG,12,08/01/2012
NEG,8,09/01/2012
NEG,8,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
