key,value,date
POS,1,01/01/2003
POS,0,03/01/2003
POS,1,06/01/2003
POS,2,07/01/2003
POS,1,08/01/2003
POS,2,09/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,1,03/01/2004
POS,0,04/01/2004
POS,3,05/01/2004
POS,2,06/01/2004
POS,2,07/01/2004
POS,6,08/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,3,02/01/2005
POS,1,03/01/2005
POS,2,04/01/2005
POS,1,05/01/2005
POS,0,06/01/2005
POS,2,07/01/2005
POS,4,08/01/2005
POS,2,09/01/2005
POS,3,10/01/2005
POS,1,11/01/2005
POS,0,01/01/2006
POS,0,02/01/2006
POS,1,03/01/2006
POS,3,04/01/2006
POS,3,05/01/2006
POS,1,06/01/2006
POS,1,07/01/2006
POS,5,08/01/2006
POS,3,09/01/2006
POS,2,10/01/2006
POS,4,11/01/2006
POS,3,12/01/2006
POS,4,01/01/2007
POS,2,02/01/2007
POS,7,03/01/2007
POS,1,04/01/2007
POS,1,05/01/2007
POS,3,06/01/2007
POS,12,07/01/2007
POS,10,08/01/2007
POS,7,09/01/2007
POS,6,10/01/2007
POS,6,11/01/2007
POS,7,12/01/2007
POS,9,01/01/2008
POS,8,02/01/2008
POS,6,03/01/2008
POS,8,04/01/2008
POS,9,05/01/2008
POS,3,06/01/2008
POS,13,07/01/2008
POS,14,08/01/2008
POS,6,09/01/2008
POS,2,10/01/2008
POS,5,11/01/2008
POS,5,12/01/2008
POS,2,01/01/2009
POS,1,02/01/2009
POS,9,03/01/2009
POS,6,04/01/2009
POS,6,05/01/2009
POS,13,06/01/2009
POS,11,07/01/2009
POS,14,08/01/2009
POS,10,09/01/2009
POS,7,10/01/2009
POS,7,11/01/2009
POS,11,12/01/2009
POS,8,01/01/2010
POS,4,02/01/2010
POS,8,03/01/2010
POS,9,04/01/2010
POS,4,05/01/2010
POS,7,06/01/2010
POS,18,07/01/2010
POS,8,08/01/2010
POS,9,09/01/2010
POS,14,10/01/2010
POS,8,11/01/2010
POS,10,12/01/2010
POS,15,01/01/2011
POS,14,02/01/2011
POS,7,03/01/2011
POS,7,04/01/2011
POS,19,05/01/2011
POS,13,06/01/2011
POS,27,07/01/2011
POS,25,08/01/2011
POS,23,09/01/2011
POS,21,10/01/2011
POS,13,11/01/2011
POS,17,12/01/2011
POS,18,01/01/2012
POS,20,02/01/2012
POS,25,03/01/2012
POS,25,04/01/2012
POS,13,05/01/2012
POS,16,06/01/2012
POS,36,07/01/2012
POS,27,08/01/2012
POS,22,09/01/2012
POS,24,10/01/2012
POS,22,11/01/2012
POS,13,12/01/2012
NEG,0,01/01/2003
NEG,1,03/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,12/01/2003
NEG,1,01/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,2,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,1,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,1,05/01/2006
NEG,2,06/01/2006
NEG,0,07/01/2006
NEG,2,08/01/2006
NEG,2,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,3,07/01/2007
NEG,1,08/01/2007
NEG,6,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,4,01/01/2008
NEG,1,02/01/2008
NEG,6,03/01/2008
NEG,5,04/01/2008
NEG,3,05/01/2008
NEG,2,06/01/2008
NEG,4,07/01/2008
NEG,6,08/01/2008
NEG,4,09/01/2008
NEG,6,10/01/2008
NEG,2,11/01/2008
NEG,0,12/01/2008
NEG,3,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,3,04/01/2009
NEG,1,05/01/2009
NEG,4,06/01/2009
NEG,7,07/01/2009
NEG,8,08/01/2009
NEG,12,09/01/2009
NEG,2,10/01/2009
NEG,3,11/01/2009
NEG,4,12/01/2009
NEG,1,01/01/2010
NEG,3,02/01/2010
NEG,5,03/01/2010
NEG,4,04/01/2010
NEG,3,05/01/2010
NEG,8,06/01/2010
NEG,9,07/01/2010
NEG,8,08/01/2010
NEG,4,09/01/2010
NEG,4,10/01/2010
NEG,1,11/01/2010
NEG,4,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,4,03/01/2011
NEG,2,04/01/2011
NEG,8,05/01/2011
NEG,8,06/01/2011
NEG,10,07/01/2011
NEG,9,08/01/2011
NEG,12,09/01/2011
NEG,5,10/01/2011
NEG,0,11/01/2011
NEG,4,12/01/2011
NEG,8,01/01/2012
NEG,5,02/01/2012
NEG,5,03/01/2012
NEG,7,04/01/2012
NEG,7,05/01/2012
NEG,4,06/01/2012
NEG,9,07/01/2012
NEG,5,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,6,11/01/2012
NEG,6,12/01/2012
