label,count,month
POS,1,12/01/2002
POS,1,01/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,1,04/01/2004
POS,1,05/01/2004
POS,4,07/01/2004
POS,1,08/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,4,12/01/2004
POS,2,01/01/2005
POS,1,03/01/2005
POS,1,04/01/2005
POS,1,05/01/2005
POS,1,06/01/2005
POS,1,07/01/2005
POS,5,08/01/2005
POS,1,09/01/2005
POS,3,11/01/2005
POS,1,12/01/2005
POS,3,01/01/2006
POS,1,02/01/2006
POS,2,04/01/2006
POS,1,05/01/2006
POS,1,07/01/2006
POS,0,08/01/2006
POS,1,12/01/2006
POS,1,01/01/2007
POS,1,02/01/2007
POS,1,03/01/2007
POS,1,04/01/2007
POS,1,05/01/2007
POS,0,06/01/2007
POS,1,07/01/2007
POS,1,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,2,12/01/2007
POS,5,01/01/2008
POS,4,03/01/2008
POS,2,04/01/2008
POS,4,05/01/2008
POS,5,06/01/2008
POS,5,07/01/2008
POS,8,08/01/2008
POS,5,09/01/2008
POS,6,10/01/2008
POS,1,11/01/2008
POS,2,12/01/2008
POS,3,01/01/2009
POS,2,02/01/2009
POS,10,03/01/2009
POS,4,05/01/2009
POS,4,06/01/2009
POS,2,07/01/2009
POS,5,08/01/2009
POS,2,09/01/2009
POS,8,10/01/2009
POS,3,11/01/2009
POS,2,12/01/2009
POS,7,01/01/2010
POS,9,02/01/2010
POS,5,03/01/2010
POS,3,04/01/2010
POS,8,05/01/2010
POS,18,06/01/2010
POS,12,07/01/2010
POS,6,08/01/2010
POS,8,09/01/2010
POS,10,10/01/2010
POS,10,11/01/2010
POS,10,12/01/2010
POS,5,01/01/2011
POS,9,02/01/2011
POS,13,03/01/2011
POS,9,04/01/2011
POS,5,05/01/2011
POS,13,06/01/2011
POS,15,07/01/2011
POS,12,08/01/2011
POS,24,09/01/2011
POS,15,10/01/2011
POS,19,11/01/2011
POS,20,12/01/2011
POS,24,01/01/2012
POS,10,02/01/2012
POS,29,03/01/2012
POS,21,04/01/2012
POS,24,05/01/2012
POS,23,06/01/2012
POS,24,07/01/2012
POS,13,08/01/2012
POS,24,09/01/2012
POS,20,10/01/2012
POS,14,11/01/2012
POS,5,12/01/2012
NEG,0,12/01/2002
NEG,0,01/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,1,05/01/2007
NEG,2,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,4,09/01/2011
NEG,0,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,3,12/01/2012
