label,count,month
POS,5,10/01/2009
POS,1,11/01/2009
POS,3,12/01/2009
POS,4,01/01/2010
POS,4,02/01/2010
POS,14,03/01/2010
POS,13,04/01/2010
POS,14,05/01/2010
POS,22,06/01/2010
POS,24,07/01/2010
POS,16,08/01/2010
POS,27,09/01/2010
POS,25,10/01/2010
POS,21,11/01/2010
POS,18,12/01/2010
POS,20,01/01/2011
POS,25,02/01/2011
POS,26,03/01/2011
POS,8,04/01/2011
POS,26,05/01/2011
POS,39,06/01/2011
POS,44,07/01/2011
POS,46,08/01/2011
POS,47,09/01/2011
POS,23,10/01/2011
POS,19,11/01/2011
POS,12,12/01/2011
POS,25,01/01/2012
POS,11,02/01/2012
POS,17,03/01/2012
POS,17,04/01/2012
POS,31,05/01/2012
POS,26,06/01/2012
POS,42,07/01/2012
POS,50,08/01/2012
POS,35,09/01/2012
POS,22,10/01/2012
POS,15,11/01/2012
POS,6,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,3,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,5,07/01/2011
NEG,6,08/01/2011
NEG,7,09/01/2011
NEG,1,10/01/2011
NEG,3,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,3,10/01/2012
NEG,5,11/01/2012
NEG,0,12/01/2012
