label,count,month
POS,0,06/01/2010
POS,4,07/01/2010
POS,4,08/01/2010
POS,5,09/01/2010
POS,4,10/01/2010
POS,4,11/01/2010
POS,3,12/01/2010
POS,4,01/01/2011
POS,1,02/01/2011
POS,2,03/01/2011
POS,1,04/01/2011
POS,2,05/01/2011
POS,8,06/01/2011
POS,6,07/01/2011
POS,8,08/01/2011
POS,6,09/01/2011
POS,4,10/01/2011
POS,5,11/01/2011
POS,8,12/01/2011
POS,7,01/01/2012
POS,1,02/01/2012
POS,2,03/01/2012
POS,9,04/01/2012
POS,4,05/01/2012
POS,8,06/01/2012
POS,14,07/01/2012
POS,8,08/01/2012
POS,10,09/01/2012
POS,6,10/01/2012
POS,5,11/01/2012
POS,5,12/01/2012
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
