label,count,month
POS,0,04/01/2011
POS,4,08/01/2011
POS,10,09/01/2011
POS,5,10/01/2011
POS,4,11/01/2011
POS,4,12/01/2011
POS,8,01/01/2012
POS,4,02/01/2012
POS,4,03/01/2012
POS,5,04/01/2012
POS,7,05/01/2012
POS,8,06/01/2012
POS,5,07/01/2012
POS,11,08/01/2012
POS,12,09/01/2012
POS,6,10/01/2012
POS,6,11/01/2012
POS,2,12/01/2012
NEG,1,04/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,4,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
