label,count,month
POS,1,11/01/2008
POS,4,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,2,03/01/2009
POS,3,04/01/2009
POS,1,05/01/2009
POS,2,06/01/2009
POS,8,07/01/2009
POS,6,08/01/2009
POS,5,09/01/2009
POS,2,10/01/2009
POS,0,12/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,4,03/01/2010
POS,4,04/01/2010
POS,2,05/01/2010
POS,5,06/01/2010
POS,8,07/01/2010
POS,9,08/01/2010
POS,7,09/01/2010
POS,3,10/01/2010
POS,4,11/01/2010
POS,2,12/01/2010
POS,5,01/01/2011
POS,6,02/01/2011
POS,1,04/01/2011
POS,3,05/01/2011
POS,10,06/01/2011
POS,12,07/01/2011
POS,20,08/01/2011
POS,19,09/01/2011
POS,11,10/01/2011
POS,7,11/01/2011
POS,9,12/01/2011
POS,7,01/01/2012
POS,7,02/01/2012
POS,15,03/01/2012
POS,13,04/01/2012
POS,10,05/01/2012
POS,13,06/01/2012
POS,16,07/01/2012
POS,17,08/01/2012
POS,14,09/01/2012
POS,9,10/01/2012
POS,7,11/01/2012
POS,4,12/01/2012
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
