label,count,month
POS,4,08/01/2006
POS,3,10/01/2006
POS,2,11/01/2006
POS,1,12/01/2006
POS,1,01/01/2007
POS,1,02/01/2007
POS,1,03/01/2007
POS,2,04/01/2007
POS,6,05/01/2007
POS,5,06/01/2007
POS,4,07/01/2007
POS,8,08/01/2007
POS,2,09/01/2007
POS,8,10/01/2007
POS,4,11/01/2007
POS,3,12/01/2007
POS,1,01/01/2008
POS,1,02/01/2008
POS,4,03/01/2008
POS,6,04/01/2008
POS,6,05/01/2008
POS,5,06/01/2008
POS,9,07/01/2008
POS,6,08/01/2008
POS,5,10/01/2008
POS,2,11/01/2008
POS,1,12/01/2008
POS,3,01/01/2009
POS,1,02/01/2009
POS,1,03/01/2009
POS,4,04/01/2009
POS,5,05/01/2009
POS,9,06/01/2009
POS,12,07/01/2009
POS,8,08/01/2009
POS,9,09/01/2009
POS,11,10/01/2009
POS,7,11/01/2009
POS,5,12/01/2009
POS,5,01/01/2010
POS,5,02/01/2010
POS,5,03/01/2010
POS,5,04/01/2010
POS,9,05/01/2010
POS,11,06/01/2010
POS,19,07/01/2010
POS,8,08/01/2010
POS,12,09/01/2010
POS,6,10/01/2010
POS,10,11/01/2010
POS,7,12/01/2010
POS,5,01/01/2011
POS,3,02/01/2011
POS,10,03/01/2011
POS,14,04/01/2011
POS,7,05/01/2011
POS,24,06/01/2011
POS,12,07/01/2011
POS,9,08/01/2011
POS,17,09/01/2011
POS,11,10/01/2011
POS,18,11/01/2011
POS,15,12/01/2011
POS,13,01/01/2012
POS,14,02/01/2012
POS,21,03/01/2012
POS,26,04/01/2012
POS,25,05/01/2012
POS,22,06/01/2012
POS,33,07/01/2012
POS,35,08/01/2012
POS,23,09/01/2012
POS,18,10/01/2012
POS,17,11/01/2012
POS,13,12/01/2012
NEG,0,08/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,2,06/01/2008
NEG,1,07/01/2008
NEG,0,08/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,2,06/01/2009
NEG,0,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,0,06/01/2010
NEG,2,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
