label,count,month
POS,2,07/01/2002
POS,2,11/01/2003
POS,1,12/01/2003
POS,1,08/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,1,02/01/2005
POS,2,03/01/2005
POS,1,04/01/2005
POS,4,05/01/2005
POS,3,06/01/2005
POS,2,08/01/2005
POS,3,09/01/2005
POS,2,10/01/2005
POS,3,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,1,02/01/2006
POS,1,03/01/2006
POS,2,04/01/2006
POS,5,06/01/2006
POS,2,07/01/2006
POS,4,08/01/2006
POS,3,09/01/2006
POS,2,10/01/2006
POS,1,12/01/2006
POS,6,01/01/2007
POS,2,02/01/2007
POS,4,03/01/2007
POS,1,05/01/2007
POS,1,06/01/2007
POS,8,07/01/2007
POS,3,08/01/2007
POS,3,09/01/2007
POS,4,10/01/2007
POS,4,11/01/2007
POS,1,12/01/2007
POS,4,01/01/2008
POS,3,02/01/2008
POS,3,04/01/2008
POS,5,05/01/2008
POS,2,06/01/2008
POS,2,07/01/2008
POS,6,08/01/2008
POS,4,09/01/2008
POS,7,10/01/2008
POS,5,11/01/2008
POS,3,12/01/2008
POS,6,01/01/2009
POS,1,02/01/2009
POS,6,03/01/2009
POS,6,04/01/2009
POS,5,05/01/2009
POS,11,06/01/2009
POS,8,07/01/2009
POS,4,08/01/2009
POS,7,09/01/2009
POS,4,10/01/2009
POS,4,11/01/2009
POS,4,12/01/2009
POS,6,01/01/2010
POS,3,02/01/2010
POS,10,03/01/2010
POS,14,04/01/2010
POS,11,05/01/2010
POS,14,06/01/2010
POS,23,07/01/2010
POS,10,08/01/2010
POS,17,09/01/2010
POS,13,10/01/2010
POS,13,11/01/2010
POS,18,12/01/2010
POS,15,01/01/2011
POS,9,02/01/2011
POS,13,03/01/2011
POS,9,04/01/2011
POS,22,05/01/2011
POS,21,06/01/2011
POS,28,07/01/2011
POS,31,08/01/2011
POS,22,09/01/2011
POS,27,10/01/2011
POS,26,11/01/2011
POS,17,12/01/2011
POS,22,01/01/2012
POS,15,02/01/2012
POS,22,03/01/2012
POS,31,04/01/2012
POS,36,05/01/2012
POS,37,06/01/2012
POS,43,07/01/2012
POS,44,08/01/2012
POS,56,09/01/2012
POS,46,10/01/2012
POS,28,11/01/2012
POS,18,12/01/2012
NEG,0,07/01/2002
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,08/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,2,10/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,3,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,2,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,0,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,4,08/01/2012
NEG,1,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
