label,count,month
POS,2,12/01/2006
POS,2,01/01/2007
POS,2,02/01/2007
POS,2,03/01/2007
POS,2,04/01/2007
POS,1,05/01/2007
POS,4,06/01/2007
POS,2,07/01/2007
POS,7,08/01/2007
POS,7,09/01/2007
POS,5,10/01/2007
POS,4,11/01/2007
POS,11,12/01/2007
POS,6,01/01/2008
POS,3,02/01/2008
POS,2,03/01/2008
POS,2,04/01/2008
POS,3,05/01/2008
POS,13,06/01/2008
POS,5,07/01/2008
POS,9,08/01/2008
POS,8,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,5,12/01/2008
POS,3,01/01/2009
POS,4,02/01/2009
POS,3,03/01/2009
POS,8,04/01/2009
POS,5,05/01/2009
POS,14,06/01/2009
POS,12,07/01/2009
POS,17,08/01/2009
POS,15,09/01/2009
POS,18,10/01/2009
POS,13,11/01/2009
POS,10,12/01/2009
POS,14,01/01/2010
POS,16,02/01/2010
POS,7,03/01/2010
POS,7,04/01/2010
POS,9,05/01/2010
POS,13,06/01/2010
POS,12,07/01/2010
POS,17,08/01/2010
POS,14,09/01/2010
POS,11,10/01/2010
POS,8,11/01/2010
POS,8,12/01/2010
POS,8,01/01/2011
POS,9,02/01/2011
POS,6,03/01/2011
POS,5,04/01/2011
POS,5,05/01/2011
POS,20,06/01/2011
POS,20,07/01/2011
POS,24,08/01/2011
POS,27,09/01/2011
POS,12,10/01/2011
POS,19,11/01/2011
POS,7,12/01/2011
POS,17,01/01/2012
POS,16,02/01/2012
POS,19,03/01/2012
POS,17,04/01/2012
POS,15,05/01/2012
POS,14,06/01/2012
POS,19,07/01/2012
POS,15,08/01/2012
POS,22,09/01/2012
POS,12,10/01/2012
POS,15,11/01/2012
POS,6,12/01/2012
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,2,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,2,08/01/2008
NEG,2,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,2,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
