label,count,month
POS,1,10/01/2002
POS,1,05/01/2003
POS,2,10/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,3,01/01/2004
POS,2,02/01/2004
POS,2,04/01/2004
POS,1,06/01/2004
POS,1,07/01/2004
POS,5,08/01/2004
POS,3,09/01/2004
POS,3,10/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,2,04/01/2005
POS,4,05/01/2005
POS,5,06/01/2005
POS,4,07/01/2005
POS,1,08/01/2005
POS,3,09/01/2005
POS,2,10/01/2005
POS,3,11/01/2005
POS,3,01/01/2006
POS,1,02/01/2006
POS,2,03/01/2006
POS,3,04/01/2006
POS,2,05/01/2006
POS,2,06/01/2006
POS,7,07/01/2006
POS,2,08/01/2006
POS,3,09/01/2006
POS,2,10/01/2006
POS,1,11/01/2006
POS,1,12/01/2006
POS,1,01/01/2007
POS,1,02/01/2007
POS,1,03/01/2007
POS,5,04/01/2007
POS,7,05/01/2007
POS,8,06/01/2007
POS,10,07/01/2007
POS,16,08/01/2007
POS,17,09/01/2007
POS,12,10/01/2007
POS,6,11/01/2007
POS,3,12/01/2007
POS,3,01/01/2008
POS,7,02/01/2008
POS,9,03/01/2008
POS,8,04/01/2008
POS,5,05/01/2008
POS,6,06/01/2008
POS,12,07/01/2008
POS,8,08/01/2008
POS,7,09/01/2008
POS,9,10/01/2008
POS,4,11/01/2008
POS,6,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,8,03/01/2009
POS,6,04/01/2009
POS,12,05/01/2009
POS,7,06/01/2009
POS,10,07/01/2009
POS,18,08/01/2009
POS,11,09/01/2009
POS,23,10/01/2009
POS,7,11/01/2009
POS,1,12/01/2009
POS,5,01/01/2010
POS,4,02/01/2010
POS,9,03/01/2010
POS,9,04/01/2010
POS,10,05/01/2010
POS,23,06/01/2010
POS,15,07/01/2010
POS,16,08/01/2010
POS,14,09/01/2010
POS,20,10/01/2010
POS,9,11/01/2010
POS,6,12/01/2010
POS,11,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,7,04/01/2011
POS,9,05/01/2011
POS,24,06/01/2011
POS,28,07/01/2011
POS,33,08/01/2011
POS,30,09/01/2011
POS,25,10/01/2011
POS,24,11/01/2011
POS,21,12/01/2011
POS,28,01/01/2012
POS,16,02/01/2012
POS,16,03/01/2012
POS,21,04/01/2012
POS,31,05/01/2012
POS,32,06/01/2012
POS,55,07/01/2012
POS,42,08/01/2012
POS,39,09/01/2012
POS,34,10/01/2012
POS,39,11/01/2012
POS,14,12/01/2012
NEG,0,10/01/2002
NEG,0,05/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,04/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,1,09/01/2004
NEG,0,10/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,1,11/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,2,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,2,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,1,04/01/2007
NEG,1,05/01/2007
NEG,2,06/01/2007
NEG,1,07/01/2007
NEG,4,08/01/2007
NEG,1,09/01/2007
NEG,3,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,3,04/01/2008
NEG,2,05/01/2008
NEG,4,06/01/2008
NEG,2,07/01/2008
NEG,1,08/01/2008
NEG,2,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,5,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,2,08/01/2009
NEG,5,09/01/2009
NEG,2,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,3,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,1,05/01/2010
NEG,3,06/01/2010
NEG,3,07/01/2010
NEG,6,08/01/2010
NEG,2,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,4,05/01/2011
NEG,3,06/01/2011
NEG,9,07/01/2011
NEG,15,08/01/2011
NEG,8,09/01/2011
NEG,4,10/01/2011
NEG,5,11/01/2011
NEG,4,12/01/2011
NEG,4,01/01/2012
NEG,6,02/01/2012
NEG,8,03/01/2012
NEG,7,04/01/2012
NEG,3,05/01/2012
NEG,6,06/01/2012
NEG,8,07/01/2012
NEG,7,08/01/2012
NEG,4,09/01/2012
NEG,7,10/01/2012
NEG,5,11/01/2012
NEG,5,12/01/2012
