key,value,date
POS,0,05/01/2009
POS,6,06/01/2009
POS,7,07/01/2009
POS,7,08/01/2009
POS,10,09/01/2009
POS,12,10/01/2009
POS,3,11/01/2009
POS,3,12/01/2009
POS,2,01/01/2010
POS,6,02/01/2010
POS,5,03/01/2010
POS,9,04/01/2010
POS,5,05/01/2010
POS,5,06/01/2010
POS,8,07/01/2010
POS,9,08/01/2010
POS,11,09/01/2010
POS,9,10/01/2010
POS,3,11/01/2010
POS,6,12/01/2010
POS,3,01/01/2011
POS,1,02/01/2011
POS,7,03/01/2011
POS,4,04/01/2011
POS,8,05/01/2011
POS,12,06/01/2011
POS,13,07/01/2011
POS,19,08/01/2011
POS,17,09/01/2011
POS,8,10/01/2011
POS,16,11/01/2011
POS,10,12/01/2011
POS,16,01/01/2012
POS,7,02/01/2012
POS,16,03/01/2012
POS,13,04/01/2012
POS,16,05/01/2012
POS,17,06/01/2012
POS,23,07/01/2012
POS,17,08/01/2012
POS,10,09/01/2012
POS,12,10/01/2012
POS,10,11/01/2012
POS,5,12/01/2012
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,0,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
