label,count,month
POS,1,03/01/2010
POS,5,04/01/2010
POS,15,05/01/2010
POS,12,06/01/2010
POS,19,07/01/2010
POS,16,08/01/2010
POS,19,09/01/2010
POS,14,10/01/2010
POS,10,11/01/2010
POS,9,12/01/2010
POS,9,01/01/2011
POS,7,02/01/2011
POS,12,03/01/2011
POS,9,04/01/2011
POS,16,05/01/2011
POS,31,06/01/2011
POS,42,07/01/2011
POS,48,08/01/2011
POS,38,09/01/2011
POS,24,10/01/2011
POS,18,11/01/2011
POS,17,12/01/2011
POS,28,01/01/2012
POS,4,02/01/2012
POS,19,03/01/2012
POS,23,04/01/2012
POS,16,05/01/2012
POS,33,06/01/2012
POS,43,07/01/2012
POS,36,08/01/2012
POS,36,09/01/2012
POS,33,10/01/2012
POS,19,11/01/2012
POS,10,12/01/2012
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,3,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,4,07/01/2011
NEG,3,08/01/2011
NEG,4,09/01/2011
NEG,5,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
