label,count,month
POS,1,03/01/2006
POS,1,01/01/2010
POS,2,05/01/2010
POS,0,07/01/2010
POS,1,08/01/2010
POS,0,10/01/2010
POS,1,11/01/2010
POS,1,01/01/2011
POS,1,03/01/2011
POS,0,04/01/2011
POS,1,05/01/2011
POS,0,07/01/2011
POS,1,08/01/2011
POS,0,09/01/2011
POS,0,10/01/2011
POS,1,11/01/2011
POS,0,01/01/2012
POS,0,02/01/2012
POS,1,04/01/2012
POS,0,05/01/2012
POS,2,09/01/2012
POS,4,10/01/2012
POS,2,11/01/2012
NEG,0,03/01/2006
NEG,0,01/01/2010
NEG,1,05/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,1,10/01/2010
NEG,3,11/01/2010
NEG,0,01/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,0,09/01/2012
NEG,4,10/01/2012
NEG,0,11/01/2012
