label,count,month
POS,0,04/01/2008
POS,1,06/01/2008
POS,1,07/01/2008
POS,1,08/01/2008
POS,0,06/01/2011
POS,8,04/01/2012
POS,12,05/01/2012
POS,18,06/01/2012
POS,25,07/01/2012
POS,26,08/01/2012
POS,20,09/01/2012
POS,16,10/01/2012
POS,14,11/01/2012
POS,7,12/01/2012
NEG,1,04/01/2008
NEG,2,06/01/2008
NEG,0,07/01/2008
NEG,2,08/01/2008
NEG,1,06/01/2011
NEG,4,04/01/2012
NEG,4,05/01/2012
NEG,4,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
