label,count,month
POS,1,05/01/2011
POS,4,06/01/2011
POS,9,07/01/2011
POS,7,08/01/2011
POS,4,09/01/2011
POS,12,10/01/2011
POS,9,11/01/2011
POS,6,12/01/2011
POS,8,01/01/2012
POS,13,02/01/2012
POS,11,03/01/2012
POS,17,04/01/2012
POS,11,05/01/2012
POS,12,06/01/2012
POS,13,07/01/2012
POS,19,08/01/2012
POS,15,09/01/2012
POS,16,10/01/2012
POS,8,11/01/2012
POS,4,12/01/2012
NEG,0,05/01/2011
NEG,3,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
