key,value,date
POS,1,06/01/2006
POS,0,07/01/2006
POS,2,08/01/2006
POS,1,09/01/2006
POS,3,10/01/2006
POS,7,11/01/2006
POS,3,12/01/2006
POS,5,01/01/2007
POS,4,02/01/2007
POS,8,03/01/2007
POS,10,04/01/2007
POS,5,05/01/2007
POS,7,06/01/2007
POS,7,07/01/2007
POS,18,08/01/2007
POS,14,09/01/2007
POS,7,10/01/2007
POS,8,11/01/2007
POS,5,12/01/2007
POS,5,01/01/2008
POS,10,02/01/2008
POS,6,03/01/2008
POS,8,04/01/2008
POS,10,05/01/2008
POS,13,06/01/2008
POS,14,07/01/2008
POS,25,08/01/2008
POS,12,09/01/2008
POS,7,10/01/2008
POS,12,11/01/2008
POS,9,12/01/2008
POS,9,01/01/2009
POS,9,02/01/2009
POS,11,03/01/2009
POS,12,04/01/2009
POS,9,05/01/2009
POS,13,06/01/2009
POS,8,07/01/2009
POS,19,08/01/2009
POS,15,09/01/2009
POS,21,10/01/2009
POS,14,11/01/2009
POS,18,12/01/2009
POS,12,01/01/2010
POS,10,02/01/2010
POS,15,03/01/2010
POS,19,04/01/2010
POS,14,05/01/2010
POS,19,06/01/2010
POS,34,07/01/2010
POS,45,08/01/2010
POS,40,09/01/2010
POS,32,10/01/2010
POS,36,11/01/2010
POS,19,12/01/2010
POS,28,01/01/2011
POS,30,02/01/2011
POS,23,03/01/2011
POS,25,04/01/2011
POS,28,05/01/2011
POS,33,06/01/2011
POS,55,07/01/2011
POS,51,08/01/2011
POS,63,09/01/2011
POS,37,10/01/2011
POS,50,11/01/2011
POS,38,12/01/2011
POS,73,01/01/2012
POS,39,02/01/2012
POS,46,03/01/2012
POS,52,04/01/2012
POS,42,05/01/2012
POS,31,06/01/2012
POS,40,07/01/2012
POS,41,08/01/2012
POS,54,09/01/2012
POS,46,10/01/2012
POS,40,11/01/2012
POS,18,12/01/2012
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,1,08/01/2006
NEG,2,09/01/2006
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,4,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,3,08/01/2008
NEG,2,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,9,08/01/2010
NEG,3,09/01/2010
NEG,5,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,2,04/01/2011
NEG,4,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,8,09/01/2011
NEG,7,10/01/2011
NEG,2,11/01/2011
NEG,4,12/01/2011
NEG,8,01/01/2012
NEG,7,02/01/2012
NEG,10,03/01/2012
NEG,12,04/01/2012
NEG,2,05/01/2012
NEG,6,06/01/2012
NEG,4,07/01/2012
NEG,11,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
