label,count,month
POS,1,11/01/2003
POS,1,03/01/2004
POS,1,04/01/2004
POS,2,07/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,3,11/01/2004
POS,1,12/01/2004
POS,3,01/01/2005
POS,2,02/01/2005
POS,2,03/01/2005
POS,1,04/01/2005
POS,3,05/01/2005
POS,5,06/01/2005
POS,6,07/01/2005
POS,3,08/01/2005
POS,2,09/01/2005
POS,4,10/01/2005
POS,3,11/01/2005
POS,2,12/01/2005
POS,2,02/01/2006
POS,1,03/01/2006
POS,1,04/01/2006
POS,6,05/01/2006
POS,2,06/01/2006
POS,3,07/01/2006
POS,5,08/01/2006
POS,4,09/01/2006
POS,2,10/01/2006
POS,6,12/01/2006
POS,6,01/01/2007
POS,6,02/01/2007
POS,3,03/01/2007
POS,11,04/01/2007
POS,2,05/01/2007
POS,3,06/01/2007
POS,4,07/01/2007
POS,6,08/01/2007
POS,8,09/01/2007
POS,4,10/01/2007
POS,1,11/01/2007
POS,10,12/01/2007
POS,8,01/01/2008
POS,5,02/01/2008
POS,2,03/01/2008
POS,5,04/01/2008
POS,4,05/01/2008
POS,4,06/01/2008
POS,5,07/01/2008
POS,11,08/01/2008
POS,5,09/01/2008
POS,4,10/01/2008
POS,10,11/01/2008
POS,7,12/01/2008
POS,4,01/01/2009
POS,8,02/01/2009
POS,6,03/01/2009
POS,8,04/01/2009
POS,7,05/01/2009
POS,10,06/01/2009
POS,20,07/01/2009
POS,8,08/01/2009
POS,16,09/01/2009
POS,11,10/01/2009
POS,4,11/01/2009
POS,9,12/01/2009
POS,14,01/01/2010
POS,6,02/01/2010
POS,9,03/01/2010
POS,13,04/01/2010
POS,16,05/01/2010
POS,16,06/01/2010
POS,17,07/01/2010
POS,21,08/01/2010
POS,20,09/01/2010
POS,21,10/01/2010
POS,27,11/01/2010
POS,23,12/01/2010
POS,18,01/01/2011
POS,18,02/01/2011
POS,25,03/01/2011
POS,16,04/01/2011
POS,12,05/01/2011
POS,31,06/01/2011
POS,27,07/01/2011
POS,34,08/01/2011
POS,20,09/01/2011
POS,35,10/01/2011
POS,20,11/01/2011
POS,9,12/01/2011
POS,13,01/01/2012
POS,10,02/01/2012
POS,29,03/01/2012
POS,28,04/01/2012
POS,27,05/01/2012
POS,28,06/01/2012
POS,38,07/01/2012
POS,25,08/01/2012
POS,33,09/01/2012
POS,28,10/01/2012
POS,33,11/01/2012
POS,21,12/01/2012
NEG,0,11/01/2003
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,07/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,1,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,1,12/01/2005
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,3,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,0,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,3,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,0,03/01/2010
NEG,4,04/01/2010
NEG,2,05/01/2010
NEG,4,06/01/2010
NEG,4,07/01/2010
NEG,10,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,5,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,2,05/01/2011
NEG,6,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,8,09/01/2011
NEG,6,10/01/2011
NEG,5,11/01/2011
NEG,5,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,8,07/01/2012
NEG,9,08/01/2012
NEG,4,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
