label,count,month
POS,4,03/01/2009
POS,17,04/01/2009
POS,9,05/01/2009
POS,8,06/01/2009
POS,12,07/01/2009
POS,7,08/01/2009
POS,4,09/01/2009
POS,13,10/01/2009
POS,3,11/01/2009
POS,5,12/01/2009
POS,5,01/01/2010
POS,7,02/01/2010
POS,6,03/01/2010
POS,5,04/01/2010
POS,5,05/01/2010
POS,8,06/01/2010
POS,13,07/01/2010
POS,20,08/01/2010
POS,16,09/01/2010
POS,14,10/01/2010
POS,10,11/01/2010
POS,5,12/01/2010
POS,5,01/01/2011
POS,7,02/01/2011
POS,7,03/01/2011
POS,18,04/01/2011
POS,10,05/01/2011
POS,16,06/01/2011
POS,11,07/01/2011
POS,22,08/01/2011
POS,21,09/01/2011
POS,18,10/01/2011
POS,19,11/01/2011
POS,14,12/01/2011
POS,23,01/01/2012
POS,13,02/01/2012
POS,11,03/01/2012
POS,24,04/01/2012
POS,23,05/01/2012
POS,24,06/01/2012
POS,30,07/01/2012
POS,33,08/01/2012
POS,23,09/01/2012
POS,27,10/01/2012
POS,25,11/01/2012
POS,23,12/01/2012
NEG,1,03/01/2009
NEG,5,04/01/2009
NEG,0,05/01/2009
NEG,3,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,2,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,2,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,4,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,4,03/01/2011
NEG,1,04/01/2011
NEG,4,05/01/2011
NEG,0,06/01/2011
NEG,4,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,5,08/01/2012
NEG,1,09/01/2012
NEG,4,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
