key,value,date
POS,2,06/01/2011
POS,3,07/01/2011
POS,8,08/01/2011
POS,2,09/01/2011
POS,8,10/01/2011
POS,5,11/01/2011
POS,6,12/01/2011
POS,1,01/01/2012
POS,4,02/01/2012
POS,7,03/01/2012
POS,6,04/01/2012
POS,11,05/01/2012
POS,8,06/01/2012
POS,11,07/01/2012
POS,9,08/01/2012
POS,7,09/01/2012
POS,8,10/01/2012
POS,9,11/01/2012
POS,5,12/01/2012
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,3,09/01/2011
NEG,4,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,3,07/01/2012
NEG,6,08/01/2012
NEG,13,09/01/2012
NEG,6,10/01/2012
NEG,0,11/01/2012
NEG,4,12/01/2012
