label,count,month
POS,1,10/01/2009
POS,1,11/01/2009
POS,1,01/01/2010
POS,1,02/01/2010
POS,1,03/01/2010
POS,4,04/01/2010
POS,1,05/01/2010
POS,4,07/01/2010
POS,7,08/01/2010
POS,3,09/01/2010
POS,3,10/01/2010
POS,4,11/01/2010
POS,3,12/01/2010
POS,1,01/01/2011
POS,2,02/01/2011
POS,7,03/01/2011
POS,11,04/01/2011
POS,7,05/01/2011
POS,2,06/01/2011
POS,10,07/01/2011
POS,5,08/01/2011
POS,5,09/01/2011
POS,9,10/01/2011
POS,2,11/01/2011
POS,3,12/01/2011
POS,3,01/01/2012
POS,5,02/01/2012
POS,5,03/01/2012
POS,3,04/01/2012
POS,9,05/01/2012
POS,9,06/01/2012
POS,5,07/01/2012
POS,5,08/01/2012
POS,2,09/01/2012
POS,8,10/01/2012
POS,9,11/01/2012
POS,1,12/01/2012
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,1,12/01/2012
