key,value,date
POS,4,04/01/2008
POS,3,05/01/2008
POS,4,06/01/2008
POS,9,07/01/2008
POS,7,08/01/2008
POS,5,09/01/2008
POS,2,10/01/2008
POS,2,11/01/2008
POS,3,01/01/2009
POS,4,02/01/2009
POS,5,03/01/2009
POS,15,04/01/2009
POS,5,05/01/2009
POS,9,06/01/2009
POS,12,07/01/2009
POS,14,08/01/2009
POS,10,09/01/2009
POS,10,10/01/2009
POS,5,11/01/2009
POS,13,12/01/2009
POS,16,01/01/2010
POS,4,02/01/2010
POS,6,03/01/2010
POS,14,04/01/2010
POS,6,05/01/2010
POS,14,06/01/2010
POS,12,07/01/2010
POS,13,08/01/2010
POS,18,09/01/2010
POS,23,10/01/2010
POS,8,11/01/2010
POS,3,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,5,03/01/2011
POS,5,04/01/2011
POS,8,05/01/2011
POS,16,06/01/2011
POS,22,07/01/2011
POS,34,08/01/2011
POS,28,09/01/2011
POS,21,10/01/2011
POS,15,11/01/2011
POS,12,12/01/2011
POS,24,01/01/2012
POS,20,02/01/2012
POS,24,03/01/2012
POS,33,04/01/2012
POS,37,05/01/2012
POS,34,06/01/2012
POS,41,07/01/2012
POS,46,08/01/2012
POS,43,09/01/2012
POS,28,10/01/2012
POS,27,11/01/2012
POS,14,12/01/2012
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,2,06/01/2008
NEG,3,07/01/2008
NEG,1,08/01/2008
NEG,1,09/01/2008
NEG,1,10/01/2008
NEG,1,11/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,4,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,5,08/01/2009
NEG,9,09/01/2009
NEG,4,10/01/2009
NEG,2,11/01/2009
NEG,3,12/01/2009
NEG,2,01/01/2010
NEG,2,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,3,05/01/2010
NEG,8,06/01/2010
NEG,5,07/01/2010
NEG,5,08/01/2010
NEG,5,09/01/2010
NEG,3,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,5,05/01/2011
NEG,4,06/01/2011
NEG,3,07/01/2011
NEG,6,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,6,11/01/2011
NEG,1,12/01/2011
NEG,6,01/01/2012
NEG,1,02/01/2012
NEG,4,03/01/2012
NEG,2,04/01/2012
NEG,8,05/01/2012
NEG,2,06/01/2012
NEG,5,07/01/2012
NEG,5,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,3,12/01/2012
