key,value,date
POS,3,02/01/2011
POS,7,03/01/2011
POS,4,04/01/2011
POS,6,05/01/2011
POS,20,06/01/2011
POS,9,07/01/2011
POS,13,08/01/2011
POS,8,09/01/2011
POS,14,10/01/2011
POS,20,11/01/2011
POS,14,12/01/2011
POS,15,01/01/2012
POS,15,02/01/2012
POS,19,03/01/2012
POS,29,04/01/2012
POS,30,05/01/2012
POS,24,06/01/2012
POS,46,07/01/2012
POS,42,08/01/2012
POS,38,09/01/2012
POS,55,10/01/2012
POS,30,11/01/2012
POS,15,12/01/2012
NEG,4,02/01/2011
NEG,5,03/01/2011
NEG,4,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,3,11/01/2011
NEG,4,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,3,05/01/2012
NEG,3,06/01/2012
NEG,6,07/01/2012
NEG,8,08/01/2012
NEG,10,09/01/2012
NEG,6,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
