key,value,date
POS,1,11/01/2007
POS,2,03/01/2008
POS,1,06/01/2008
POS,2,07/01/2008
POS,2,08/01/2008
POS,1,09/01/2008
POS,3,10/01/2008
POS,2,11/01/2008
POS,1,12/01/2008
POS,1,01/01/2009
POS,1,02/01/2009
POS,2,03/01/2009
POS,2,04/01/2009
POS,2,05/01/2009
POS,1,07/01/2009
POS,1,08/01/2009
POS,6,09/01/2009
POS,4,10/01/2009
POS,5,11/01/2009
POS,1,12/01/2009
POS,3,01/01/2010
POS,2,02/01/2010
POS,1,03/01/2010
POS,6,04/01/2010
POS,4,05/01/2010
POS,1,06/01/2010
POS,4,07/01/2010
POS,6,08/01/2010
POS,7,09/01/2010
POS,1,10/01/2010
POS,8,11/01/2010
POS,9,12/01/2010
POS,8,01/01/2011
POS,3,02/01/2011
POS,9,03/01/2011
POS,8,04/01/2011
POS,14,05/01/2011
POS,7,06/01/2011
POS,14,07/01/2011
POS,15,08/01/2011
POS,17,09/01/2011
POS,10,10/01/2011
POS,8,11/01/2011
POS,8,12/01/2011
POS,8,01/01/2012
POS,6,02/01/2012
POS,6,03/01/2012
POS,14,04/01/2012
POS,11,05/01/2012
POS,7,06/01/2012
POS,7,07/01/2012
POS,8,08/01/2012
POS,5,09/01/2012
POS,8,10/01/2012
POS,14,11/01/2012
POS,2,12/01/2012
NEG,0,11/01/2007
NEG,0,03/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,3,04/01/2009
NEG,1,05/01/2009
NEG,0,07/01/2009
NEG,2,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,3,06/01/2010
NEG,2,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,1,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,4,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
