key,value,date
POS,0,12/01/2007
POS,2,01/01/2011
POS,3,02/01/2011
POS,3,03/01/2011
POS,4,04/01/2011
POS,5,05/01/2011
POS,8,06/01/2011
POS,11,07/01/2011
POS,13,08/01/2011
POS,7,09/01/2011
POS,6,10/01/2011
POS,8,11/01/2011
POS,7,12/01/2011
POS,8,01/01/2012
POS,8,02/01/2012
POS,13,03/01/2012
POS,15,04/01/2012
POS,14,05/01/2012
POS,14,06/01/2012
POS,15,07/01/2012
POS,16,08/01/2012
POS,7,09/01/2012
POS,18,10/01/2012
POS,13,11/01/2012
POS,4,12/01/2012
NEG,1,12/01/2007
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,6,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,8,04/01/2012
NEG,6,05/01/2012
NEG,4,06/01/2012
NEG,5,07/01/2012
NEG,5,08/01/2012
NEG,4,09/01/2012
NEG,7,10/01/2012
NEG,4,11/01/2012
NEG,4,12/01/2012
