label,count,month
POS,4,07/01/2009
POS,8,08/01/2009
POS,12,09/01/2009
POS,10,10/01/2009
POS,3,11/01/2009
POS,4,12/01/2009
POS,4,01/01/2010
POS,4,02/01/2010
POS,4,03/01/2010
POS,6,04/01/2010
POS,2,05/01/2010
POS,1,06/01/2010
POS,8,07/01/2010
POS,15,08/01/2010
POS,36,09/01/2010
POS,40,10/01/2010
POS,13,11/01/2010
POS,13,12/01/2010
POS,7,01/01/2011
POS,8,02/01/2011
POS,6,03/01/2011
POS,4,04/01/2011
POS,6,05/01/2011
POS,9,06/01/2011
POS,12,07/01/2011
POS,13,08/01/2011
POS,21,09/01/2011
POS,22,10/01/2011
POS,14,11/01/2011
POS,14,12/01/2011
POS,14,01/01/2012
POS,11,02/01/2012
POS,10,03/01/2012
POS,20,04/01/2012
POS,22,05/01/2012
POS,11,06/01/2012
POS,27,07/01/2012
POS,13,08/01/2012
POS,9,09/01/2012
POS,18,10/01/2012
POS,17,11/01/2012
POS,8,12/01/2012
NEG,0,07/01/2009
NEG,2,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,2,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,4,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,6,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,5,07/01/2012
NEG,5,08/01/2012
NEG,3,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
