label,count,month
POS,11,06/01/2010
POS,12,07/01/2010
POS,8,08/01/2010
POS,6,09/01/2010
POS,5,10/01/2010
POS,6,11/01/2010
POS,3,12/01/2010
POS,7,01/01/2011
POS,3,02/01/2011
POS,11,03/01/2011
POS,12,04/01/2011
POS,9,05/01/2011
POS,18,06/01/2011
POS,30,07/01/2011
POS,25,08/01/2011
POS,19,09/01/2011
POS,17,10/01/2011
POS,16,11/01/2011
POS,7,12/01/2011
POS,16,01/01/2012
POS,8,02/01/2012
POS,19,03/01/2012
POS,42,04/01/2012
POS,31,05/01/2012
POS,19,06/01/2012
POS,35,07/01/2012
POS,31,08/01/2012
POS,27,09/01/2012
POS,18,10/01/2012
POS,23,11/01/2012
POS,11,12/01/2012
NEG,5,06/01/2010
NEG,3,07/01/2010
NEG,5,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,3,11/01/2010
NEG,3,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,4,03/01/2011
NEG,8,04/01/2011
NEG,3,05/01/2011
NEG,2,06/01/2011
NEG,12,07/01/2011
NEG,9,08/01/2011
NEG,9,09/01/2011
NEG,9,10/01/2011
NEG,10,11/01/2011
NEG,8,12/01/2011
NEG,7,01/01/2012
NEG,3,02/01/2012
NEG,7,03/01/2012
NEG,7,04/01/2012
NEG,8,05/01/2012
NEG,9,06/01/2012
NEG,12,07/01/2012
NEG,11,08/01/2012
NEG,9,09/01/2012
NEG,7,10/01/2012
NEG,3,11/01/2012
NEG,2,12/01/2012
